"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","148","328","1899"
"Kollam","110","339","468"
"Pathanamthitta","71","144","553"
"Alappuzha","39","132","573"
"Kottayam","128","229","1527"
"Idukki","82","161","1126"
"Ernakulam","227","302","2567"
"Thrissur","114","286","1051"
"Palakkad","53","24","82"
"Malappuram","44","83","684"
"Kozhikode","99","183","1050"
"Wayanad","28","98","614"
"Kannur","57","85","539"
"Kasaragod","23","30","135"
"Total","1223","2424","12868"
