"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","782","110558","624","108113","14","2293","152"
"2","SAS Nagar","1326","97015","1053","95586","8","1156","273"
"3","Jalandhar","372","78642","274","76974","3","1581","87"
"4","Patiala","508","62527","412","60984","1","1458","85"
"5","Amritsar","217","59614","171","57879","2","1684","51"
"6","Bathinda","277","51145","145","49923","0","1088","134"
"7","Hoshiarpur","118","40958","109","39841","0","1096","21"
"8","Gurdaspur","67","27005","47","26120","1","865","20"
"9","Pathankot","121","24645","100","24133","0","495","17"
"10","Fazilka","89","23485","85","22924","0","545","16"
"11","Muktsar","36","22590","32","22042","0","539","9"
"12","Kapurthala","97","22127","74","21526","1","583","18"
"13","Ropar","105","18043","75","17558","1","456","29"
"14","Ferozepur","73","17972","58","17418","1","538","16"
"15","Mansa","52","17277","40","16876","1","393","8"
"16","Faridkot","123","16906","104","16545","1","339","22"
"17","Sangrur","33","14342","27","13600","0","735","7"
"18","SBS Nagar","46","13448","39","13027","0","409","12"
"19","FG Sahib","111","11944","82","11562","0","354","28"
"20","Moga","24","11011","22","10753","1","255","3"
"21","Tarn Taran","26","10922","13","10518","0","394","10"
"22","Barnala","32","7529","18","7161","0","349","19"
"23","Malerkotla","15","3983","13","3804","0","176","3"
"","Total","4650","763688","3617","744867","35","17781","1040"
