"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19975","19681","27","267"
"2","Chengalpattu","244825","239158","3009","2658"
"3","Chennai","773746","758047","6630","9069"
"4","Coimbatore","332857","329381","859","2617"
"5","Cuddalore","74584","73522","167","895"
"6","Dharmapuri","36325","35969","73","283"
"7","Dindigul","37697","36899","133","665"
"8","Erode","133265","132263","268","734"
"9","Kallakurichi","36695","36389","91","215"
"10","Kancheepuram","96269","94457","510","1302"
"11","Kanyakumari","87824","86322","417","1085"
"12","Karur","29869","29448","49","372"
"13","Krishnagiri","59980","59471","139","370"
"14","Madurai","91855","90359","260","1236"
"15","Mayiladuthurai","26643","26234","79","330"
"16","Nagapattinam","25567","25130","62","375"
"17","Namakkal","68360","67672","154","534"
"18","Nilgiris","42406","42105","75","226"
"19","Perambalur","14718","14371","98","249"
"20","Pudukottai","34667","34136","105","426"
"21","Ramanathapuram","24822","24376","78","368"
"22","Ranipet","54625","53563","275","787"
"23","Salem","128208","126085","361","1762"
"24","Sivagangai","24257","23862","176","219"
"25","Tenkasi","33189","32462","237","490"
"26","Thanjavur","92489","91302","147","1040"
"27","Theni","50912","50195","184","533"
"28","Thirupathur","35807","35153","21","633"
"29","Thiruvallur","150467","147474","1054","1939"
"30","Thiruvannamalai","67264","66395","184","685"
"31","Thiruvarur","48213","47644","96","473"
"32","Thoothukudi","66079","65214","417","448"
"33","Tirunelveli","64175","63153","577","445"
"34","Tiruppur","130345","129130","163","1052"
"35","Trichy","96352","94760","431","1161"
"36","Vellore","57597","56337","97","1163"
"37","Villupuram","55056","54450","240","366"
"38","Virudhunagar","57602","56732","316","554"
"39","Airport Surveillance 
(International)","1368","1351","16","1"
"40","Airport Surveillance 
(Domestic)","1144","1136","7","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,08,526","34,52,216","18,282","38,028"
