"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
24-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","48","182101","181001[13]","99.40","926","174","3273","9302","4168724"
"2","Faridabad","9","100055","99295[7]","99.24","717","43","3841","12003","3001748"
"3","Hisar","3","54005","52865","97.89","1137","3","6405","16686","1660654"
"4","Sonepat","0","47146","46891","99.46","254","1","2792","9127","1694166"
"5","Karnal","4","40072","39498[1]","98.57","554","20","4190","10965","1764310"
"6","Panipat","2","31162","30518[1]","97.93","638","6","3617","9407","1456667"
"7","Panchkula","2","30929","30501[8]","98.62","381","47","954","3492","855709"
"8","Ambala","3","30168","29646","98.27","509","13","2055","11829","1759305"
"9","Sirsa","1","29305","28789[1]","98.24","509","7","9711","22530","1422690"
"10","Rohtak","0","25923","25371","97.87","534","1","4110","7834","1218588"
"11","Yamunanagar","1","24665","24242","98.29","414","9","1564","8229","1390291"
"12","Bhiwani","1","22413","21758","97.08","652","3","2650","13337","1388747"
"13","Kurukshetra","5","22170","21803","98.34","357","10","2455","7562","1067238"
"14","Mahindergarh","0","21689","21534","99.29","155","0","2571","9998","1033784"
"15","Jind","0","21210","20677","97.49","533","0","4715","8669","1250849"
"16","Rewari","0","20330","20108","98.91","221","1","2382","9093","1202778"
"17","Jhajjar","0","18853","18516","98.21","328","3","1965","6468","1197104"
"18","Fatehabad","0","17880","17398","97.30","482","0","1105","5033","914817"
"19","Kaithal","0","11251","10904","96.92","346","1","14605","21220","1246236"
"20","Palwal","0","11031","10877","98.60","153","1","1958","8134","1105322"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","817","1733","702426"
"22","Nuh","0","5014","4891","97.55","123","0","1712","4277","814741"
"Haryana","","79","772451","762023[31]","98.65","10062","343","79447","216928","32316894"
