"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","858","2789","10702"
"Kollam","604","3378","5040"
"Pathanamthitta","386","1312","3458"
"Alappuzha","486","1013","5438"
"Kottayam","661","1915","8943"
"Idukki","434","1243","6575"
"Ernakulam","1403","2932","15489"
"Thrissur","692","1631","7896"
"Palakkad","363","837","3223"
"Malappuram","444","1343","5631"
"Kozhikode","746","1245","6512"
"Wayanad","324","639","3113"
"Kannur","282","633","2891"
"Kasaragod","97","224","964"
"Total","7780","21134","85875"
