"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","11,094"
"2","Number of persons tested positive today in Tamil Nadu","2,065"
"","Passengers returned from other countries  by 
International airport/road tested positive today","Singapore-2 
Bangladesh-1 
USA-1"
"","Total","2,069"
"3","Total Number of persons tested positive till date","34,75,185"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,860/ 
6,71,47,189@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","29,524/ 
6,59,66,829"
"6","No. of Male / Female / Transgender tested positive today","1,122/947/0"
"7","No. of Male / Female / Transgender tested positive till date","20,27,134/14,48,013/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,008/ 
34,26,065"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
