"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19905","19620","18","267"
"2","Chengalpattu","239523","234942","1923","2658"
"3","Chennai","761457","747644","4745","9068"
"4","Coimbatore","331208","327898","693","2617"
"5","Cuddalore","74336","73400","41","895"
"6","Dharmapuri","36217","35924","10","283"
"7","Dindigul","37504","36823","16","665"
"8","Erode","132819","132001","84","734"
"9","Kallakurichi","36534","36311","8","215"
"10","Kancheepuram","95201","93520","379","1302"
"11","Kanyakumari","86941","85456","400","1085"
"12","Karur","29784","29396","16","372"
"13","Krishnagiri","59732","59306","56","370"
"14","Madurai","91311","89916","159","1236"
"15","Mayiladuthurai","26532","26182","20","330"
"16","Nagapattinam","25470","25072","23","375"
"17","Namakkal","68083","67501","48","534"
"18","Nilgiris","42267","41985","56","226"
"19","Perambalur","14526","14228","49","249"
"20","Pudukottai","34498","34052","20","426"
"21","Ramanathapuram","24706","24317","21","368"
"22","Ranipet","54133","53222","124","787"
"23","Salem","127612","125719","131","1762"
"24","Sivagangai","23971","23673","79","219"
"25","Tenkasi","32831","32273","68","490"
"26","Thanjavur","92244","91148","56","1040"
"27","Theni","50667","50085","49","533"
"28","Thirupathur","35764","35117","14","633"
"29","Thiruvallur","148598","146032","627","1939"
"30","Thiruvannamalai","66914","66163","66","685"
"31","Thiruvarur","48063","47561","30","472"
"32","Thoothukudi","65283","64609","226","448"
"33","Tirunelveli","63135","62454","236","445"
"34","Tiruppur","130057","128930","75","1052"
"35","Trichy","95334","93931","242","1161"
"36","Vellore","57434","56214","57","1163"
"37","Villupuram","54659","54235","58","366"
"38","Virudhunagar","57024","56325","145","554"
"39","Airport Surveillance 
(International)","1345","1322","22","1"
"40","Airport Surveillance 
(Domestic)","1135","1130","4","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,75,185","34,26,065","11,094","38,026"
