"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4505","4113","9","4","379"
"Bageshwar","2088","2001","1","0","86"
"Chamoli","3195","3084","2","3","106"
"Champawat","1904","1867","16","1","20"
"Dehradun","32809","32222","51","173","363"
"Haridwar","13000","12692","50","24","234"
"Nainital","11295","11218","11","29","37"
"Pauri Garhwal","5259","4236","37","18","968"
"Pithoragarh","2557","2405","14","4","134"
"Rudraprayag","2699","2569","2","2","126"
"Tehri Garhwal","2350","2019","2","5","324"
"U.S. Nagar","8780","8488","20","5","267"
"Uttarkashi","1636","1461","2","5","168"
"Total","92077","88375","217","273","3212"
