"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","194","422","58775","5","4505","63274","28"
"Bageshwar","93","175","33761","1","2088","35845","43"
"Chamoli","227","82","43603","0","3195","46796","412"
"Champawat","440","1228","54766","2","1904","56667","206"
"Dehradun","823","1123","343996","5","32809","376670","264"
"Haridwar","554","633","296489","3","13000","309459","369"
"Nainital","304","302","71600","0","11295","82825","300"
"Pauri Garhwal","437","487","85864","0","5259","91116","145"
"Pithoragarh","165","9","36973","0","2557","39518","211"
"Rudraprayag","65","66","24938","0","2699","27637","86"
"Tehri Garhwal","176","197","30152","1","2350","32495","118"
"US Nagar","581","490","127201","1","8780","135957","371"
"Uttarkashi","190","320","33381","0","1636","35015","257"
"Total","4249","5534","1241499","18","92077","1333274","2810"
