"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
19-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","14","181613","180614[19]","99.45","924","75","1945","7399","3746083"
"2","Faridabad","0","99918","99195","99.28","716","7","904","2462","2626472"
"3","Hisar","0","53996","52860","97.90","1136","0","211","1173","1381108"
"4","Sonepat","0","47139","46885","99.46","254","0","511","1164","1474795"
"5","Karnal","0","40040","39487[1]","98.62","552","1","1123","1592","1526247"
"6","Panipat","0","31153","30513[1]","97.95","638","2","2072","4093","1184808"
"7","Panchkula","4","30793","30403[1]","98.73","379","11","129","740","774801"
"8","Ambala","0","30150","29641","98.31","509","0","253","1835","1520902"
"9","Sirsa","0","29283","28774","98.26","508","1","953","2027","1135897"
"10","Rohtak","0","25915","25360[1]","97.86","534","4","332","633","1042350"
"11","Yamunanagar","1","24637","24221","98.31","414","2","35","237","1212753"
"12","Bhiwani","0","22409","21757","97.09","652","0","455","3382","1145085"
"13","Kurukshetra","0","22151","21792","98.38","357","2","234","991","897312"
"14","Mahindergarh","0","21689","21534","99.29","155","0","567","2134","894595"
"15","Jind","1","21210","20676","97.48","533","1","586","710","1017968"
"16","Rewari","0","20329","20108","98.91","221","0","531","2122","993327"
"17","Jhajjar","1","18850","18515","98.22","328","1","483","2824","1047923"
"18","Fatehabad","1","17878","17394","97.29","481","3","160","596","805592"
"19","Kaithal","0","11246","10898","96.91","346","2","1983","2725","895270"
"20","Palwal","0","11026","10873","98.61","153","0","919","2063","890047"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","160","1243","649793"
"22","Nuh","0","5014","4891","97.55","123","0","15394","2230","529102"
"Total","","22","771517","761330[23]","98.68","10052","112","29940","44375","27392230"
