"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87703","35","85554","2114"
"2","SAS Nagar","69031","72","67886","1073"
"3","Jalandhar","63530","24","62006","1500"
"4","Patiala","48996","20","47614","1362"
"5","Amritsar","47439","2","45838","1599"
"6","Bathinda","41809","30","40732","1047"
"7","Hoshiarpur","30984","41","29948","995"
"8","Gurdaspur","22414","10","21601","803"
"9","Fazilka","20283","1","19752","530"
"10","Pathankot","18981","22","18530","429"
"11","Muktsar","18806","5","18277","524"
"12","Kapurthala","17877","8","17313","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","1","15229","381"
"15","Ferozepur","14468","74","13890","504"
"16","Faridkot","13953","8","13626","319"
"17","Ropar","12997","12","12560","425"
"18","SBS Nagar","11474","2","11084","388"
"19","FG Sahib","8906","2","8568","336"
"20","Moga","8684","0","8450","234"
"21","Tarn Taran","8069","6","7682","381"
"22","Barnala","5956","7","5705","244"
"","Total","603739","385","586735","16619"
