,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-02,DL,Central Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
1,1,2021-11-02,DL,East Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
2,2,2021-11-02,DL,New Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
3,3,2021-11-02,DL,North Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
4,4,2021-11-02,DL,North East Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
5,5,2021-11-02,DL,North West Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
6,6,2021-11-02,DL,Shahdara,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
7,7,2021-11-02,DL,South Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
8,8,2021-11-02,DL,South East Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
9,9,2021-11-02,DL,South West Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
10,10,2021-11-02,DL,West Delhi,,,,,,,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
11,11,2021-11-02,DL,Unknown,,,,1439922.0,25091.0,1414522.0,,2021-11-03 18:05:46.749334,,,,1439922,25091,1414522,29517574
