"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","8","1","0","0","1908","1886","14"
"East Jaintia Hills","3","0","0","0","2444","2409","32"
"East Khasi Hills","194","10","32","1","41813","40617","1002"
"North Garo Hills","0","0","0","0","1685","1677","8"
"Ri-Bhoi","3","1","0","0","9733","9640","90"
"South Garo Hills","1","0","0","0","1218","1205","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","0","0","0","0","2549","2532","17"
"West Garo Hills","4","0","0","0","9081","9004","73"
"West Jaintia Hills","1","0","0","0","6822","6685","136"
"West Khasi Hills","4","0","1","0","5517","5439","74"
"Total","218","12","33","1","84643","82949","1476"
