Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Column 19
2022-07-04,JK,Srinagar,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,102983,908,101919,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Baramulla,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,37683,304,37370,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Budgam,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,34862,237,34623,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Pulwama,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,18433,201,18230,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Kupwara,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,21790,174,21602,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Anantnag,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,22439,219,22219,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Bandipora,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,13689,119,13569,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Ganderbal,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,13630,84,13546,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Kulgam,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,16332,119,16209,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Shopiyan,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,6309,60,6247,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Jammu,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,77016,1227,75470,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Udhampur,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,14798,147,14643,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Rajouri,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,12822,249,12565,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Doda,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,11535,144,11391,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Kathua,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,11455,167,11259,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Samba,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,9122,125,8989,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Kishtwar,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,5897,46,5849,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Punch,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,7749,110,7631,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Ramban,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,8143,69,8070,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
2022-07-04,JK,Reasi,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,8704,48,8656,,2022-07-04 19:55:54.488220,2022-07-04 17:00:00+05:30,https://twitter.com/diprjk,,455391,4757,450057,25807253,
