"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","1","0","2069","19","6","0"
"East Jaintia Hills","1","2","0","2653","39","14","0"
"East Khasi Hills","20","16","0","47642","1076","105","27"
"Eastern West Khasi Hills","0","1","0","152","8","1","0"
"North Garo Hills","2","11","0","1909","9","6","0"
"Ri-Bhoi","0","3","0","10491","101","22","5"
"South Garo Hills","6","2","0","1401","14","34","2"
"South West Garo Hills","7","12","0","2199","21","30","0"
"South West Khasi Hills","1","0","0","2703","20","2","0"
"West Garo Hills","30","21","1","11569","84","435","12"
"West Jaintia Hills","4","6","0","7263","139","35","3"
"West Khasi Hills","0","0","0","5668","78","1","0"
"Total","71","75","1","95719","1608","691","49"
