"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
15-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","18","181901","180876[17]","99.44","926[1]","99","2284","8651","4053305"
"2","Faridabad","7","100012","99255[3]","99.24","717","40","2119","9707","2893141"
"3","Hisar","0","54002","52865","97.89","1137","0","1329","5976","1546631"
"4","Sonepat","0","47145","46891","99.46","254","0","1112","4676","1631358"
"5","Karnal","0","40052","39492","98.60","554","6","959","6389","1680057"
"6","Panipat","1","31156","30517","97.95","638","1","1469","5385","1375335"
"7","Panchkula","3","30880","30473[11]","98.68","380","27","376","2206","831709"
"8","Ambala","0","30155","29643","98.30","509","3","797","8583","1672458"
"9","Sirsa","1","29298","28787","98.26","508","3","1797","5415","1303210"
"10","Rohtak","0","25922","25366","97.86","534","5","1349","4158","1165369"
"11","Yamunanagar","0","24658","24238","98.30","414","6","714","5803","1331642"
"12","Bhiwani","0","22411","21758","97.09","652","1","523","5514","1317247"
"13","Kurukshetra","1","22161","21799","98.37","357","5","827","5261","1005500"
"14","Mahindergarh","0","21689","21534","99.29","155","0","421","2696","984970"
"15","Jind","0","21210","20677","97.49","533","0","1264","5030","1154045"
"16","Rewari","0","20329","20108","98.91","221","0","933","6481","1142430"
"17","Jhajjar","0","18850","18516","98.23","328","0","801","3890","1152192"
"18","Fatehabad","0","17880","17398","97.30","482","0","419","2611","879289"
"19","Kaithal","0","11251","10900","96.88","346","5","1648","7935","1045087"
"20","Palwal","0","11031","10875","98.59","153","3","1538","3891","1050184"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","157","713","691550"
"22","Nuh","0","5014","4891","97.55","123","0","1916","2069","769114"
"Total","","31","772086","761799[31]","98.67","10060[1]","204","24752","113040","30675823"
