"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87608","18","85484","2106"
"2","SAS Nagar","68821","27","67726","1068"
"3","Jalandhar","63396","36","61864","1496"
"4","Patiala","48927","8","47561","1358"
"5","Amritsar","47379","24","45757","1598"
"6","Bathinda","41728","18","40668","1042"
"7","Hoshiarpur","30822","8","29828","986"
"8","Gurdaspur","22381","4","21576","801"
"9","Fazilka","20271","14","19729","528"
"10","Pathankot","18814","22","18373","419"
"11","Muktsar","18784","3","18257","524"
"12","Kapurthala","17852","2","17294","556"
"13","Sangrur","15762","3","14884","875"
"14","Mansa","15606","0","15226","380"
"15","Ferozepur","14347","11","13832","504"
"16","Faridkot","13927","10","13602","315"
"17","Ropar","12963","23","12517","423"
"18","SBS Nagar","11469","1","11080","388"
"19","FG Sahib","8876","3","8538","335"
"20","Moga","8675","2","8440","233"
"21","Tarn Taran","8043","4","7659","380"
"22","Barnala","5950","10","5696","244"
"","Total","602401","251","585591","16559"
