"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
30-10-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","9","181421","180446[6]","99.46","922","53","1976","5882","3568227"
"2","Faridabad","3","99901","99157[2]","99.26","716","28","3124","4575","2497292"
"3","Hisar","0","53995","52857","97.89","1136","2","460","1148","1326082"
"4","Sonepat","0","47138","46884","99.46","254","0","1226","2643","1397891"
"5","Karnal","0","40036","39484","98.62","552","0","669","2595","1451112"
"6","Panipat","0","31149","30510","97.95","638","1","1529","1917","1102540"
"7","Panchkula","0","30769","30377","98.73","378","14","193","1504","735463"
"8","Ambala","0","30150","29639","98.31","509","2","418","2964","1443912"
"9","Sirsa","0","29282","28771","98.25","508","3","396","733","1064969"
"10","Rohtak","0","25903","25350","97.87","534","2","1625","2890","978406"
"11","Yamunanagar","0","24631","24215[2]","98.31","414","2","564","1710","1171507"
"12","Bhiwani","0","22409","21757","97.09","652","0","648","3338","1055813"
"13","Kurukshetra","0","22147","21789","98.38","357","1","459","1203","858208"
"14","Mahindergarh","0","21689","21534","99.29","155","0","875","1548","840634"
"15","Jind","0","21209","20675","97.48","533","1","2017","3216","953971"
"16","Rewari","0","20327","20106[1]","98.91","221","0","316","1475","943247"
"17","Jhajjar","0","18849","18514","98.22","328","1","1160","2191","976028"
"18","Fatehabad","0","17875","17394","97.31","481","0","197","647","776239"
"19","Kaithal","0","11244","10898","96.92","346","0","589","1442","832378"
"20","Palwal","0","11025","10872","98.61","153","0","980","1278","829759"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","120","1969","626702"
"22","Nuh","0","5014","4890","97.53","123","1","976","427","429331"
"Total","","12","771241","761058[11]","98.68","10049","111","20517","47295","25859711"
