"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","117","163","1023"
"Kollam","68","18","119"
"Pathanamthitta","49","72","277"
"Alappuzha","16","20","82"
"Kottayam","94","175","1024"
"Idukki","76","95","670"
"Ernakulam","165","273","1401"
"Thrissur","49","236","533"
"Palakkad","35","20","55"
"Malappuram","28","23","284"
"Kozhikode","70","113","586"
"Wayanad","37","51","264"
"Kannur","39","45","134"
"Kasaragod","4","17","12"
"Total","847","1321","6464"
