"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","164","1124055","0","19651"
"2","Thane","9","120164","0","2289"
"3","TMC","24","199189","0","2177"
"4","Navi Mumbai","33","176578","0","2093"
"5","KDMC","7","178958","0","2978"
"6","Ulhasnagar MC","4","27000","0","685"
"7","Bhivandi Nijampur MC","1","13310","0","496"
"8","Mira Bhayandar MC","18","79004","0","1231"
"9","Palghar","0","65401","0","1244"
"10","Vasai Virar MC","7","101663","0","2174"
"11","Raigad","2","142625","0","3474"
"12","Panvel MC","11","110033","0","1484"
"","Mumbai circle total","280","2337980","0","39976"
"13","Nashik","51","185182","0","3817"
"14","Nashik MC","17","280160","0","4754"
