"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","228676","222579","5887","210"
"12","Nashik","476448","466938","8916","594"
"13","Ahmednagar","379626","371948","7245","433"
"14","Jalgaon","150067","147252","2762","53"
"15","Nandurbar","46812","45818","963","31"
"16","Dhule","51273","50495","670","108"
"17","Aurangabad","178199","173658","4288","253"
"18","Jalna","67309","65967","1224","118"
"19","Beed","109538","106612","2886","40"
"20","Latur","105819","103122","2489","208"
"21","Parbhani","58711","57398","1279","34"
"22","Hingoli","22397","21856","515","26"
"23","Nanded","103036","100262","2704","70"
"24","Osmanabad","76030","73687","2139","204"
"25","Amravati","106676","104882","1625","169"
"26","Akola","66780","65246","1474","60"
"27","Washim","47079","46267","641","171"
"28","Buldhana","92832","91909","838","85"
"29","Yavatmal","82473","80545","1820","108"
"30","Nagpur","583158","572385","9216","1557"
"31","Wardha","66114","64601","1409","104"
"32","Bhandara","69006","67592","1142","272"
"33","Gondia","45695","45026","587","82"
"34","Chandrapur","99456","97728","1595","133"
