"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","18,842"
"2","Number of persons tested positive today in Tamil Nadu","2,666"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-2 
Kuwait-1 
Singapore-1 
UAE-1"
"","Total","2,671"
"3","Total Number of persons tested positive till date","34,98,992"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","33,286/ 
6,74,33,325@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,447/ 
6,62,47,613"
"6","No. of Male / Female / Transgender tested positive today","1,444/1,227/0"
"7","No. of Male / Female / Transgender tested positive till date","20,40,347/14,58,607/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,516/ 
34,42,122"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,028"
