"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235389","232664","67","2658"
"3","Chennai","750938","741681","189","9068"
"4","Coimbatore","329904","327241","46","2617"
"5","Cuddalore","74247","73343","9","895"
"6","Dharmapuri","36191","35902","6","283"
"7","Dindigul","37477","36808","4","665"
"8","Erode","132666","131923","9","734"
"9","Kallakurichi","36521","36303","3","215"
"10","Kancheepuram","94383","93060","21","1302"
"11","Kanyakumari","86208","85116","7","1085"
"12","Karur","29752","29380","0","372"
"13","Krishnagiri","59627","59250","7","370"
"14","Madurai","91029","89791","2","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25440","25063","2","375"
"17","Namakkal","68002","67461","7","534"
"18","Nilgiris","42116","41874","16","226"
"19","Perambalur","14461","14212","0","249"
"20","Pudukottai","34463","34037","0","426"
"21","Ramanathapuram","24674","24301","5","368"
"22","Ranipet","53918","53126","5","787"
"23","Salem","127363","125593","8","1762"
"24","Sivagangai","23821","23597","5","219"
"25","Tenkasi","32744","32253","1","490"
"26","Thanjavur","92137","91077","21","1039"
"27","Theni","50599","50064","2","533"
"28","Thirupathur","35734","35097","4","633"
"29","Thiruvallur","147440","145477","24","1939"
"30","Thiruvannamalai","66809","66118","6","685"
"31","Thiruvarur","48010","47538","0","472"
"32","Thoothukudi","64950","64496","6","448"
"33","Tirunelveli","62762","62314","3","445"
"34","Tiruppur","129924","128861","11","1052"
"35","Trichy","94937","93768","8","1161"
"36","Vellore","57286","56105","18","1163"
"37","Villupuram","54580","54214","0","366"
"38","Virudhunagar","56830","56268","8","554"
"39","Airport Surveillance 
(International)","1247","1241","5","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,52,490","34,13,930","535","38,025"
