"S. No","Subject","Number"
"1","Samples Tested on 13th Sep","27,050"
"2","Total Number of Samples Tested till 13th Sep","1,75,05,502"
"3","Positivity Rate as on 13th Sep","1.87%"
"4","Tests per Million population","1,94,506"
"5","Total Testing Laboratories*","146"
"6","RT-PCR/Antigen Test Ratio","60:40"
