"S. No","Subject","Number"
"1","Total Number of people vaccinated on 13th Sep","1,83,858"
"2","First Dose on 13th Sep","1,43,913"
"3","Second Dose on 13th Sep","39,945"
"4","Cumulative Vaccination till 13th Sep","4,72,57,831"
"5","Cumulative Vaccination First Dose","3,38,02,392"
"6","Cumulative Vaccination Second Dose","1,34,55,439"
"7","Number of CVC (Common Vaccination Centres)","1,016"
"8","Cumulative AEFI cases reported","3,928"
"9","Vaccine wastage","-7%"
