"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,94,697"
"2","Number of persons tested positive today in Tamil Nadu","30,718"
"","Passengers returned from other states / countries by 
Road tested positive today","Andhra Pradesh - 9 
West Bengal - 7 
Bihar - 3 
Bangladesh - 3 
Puducherry - 2 
Karnataka - 2"
"","Total","30,744"
"3","Total Number of persons tested positive till date","31,03,410"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,55,648/ 
6,04,45,762@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,47,857/ 
5,94,50,246"
"6","No. of Male / Female / Transgender tested positive today","17,513/13,231/0"
"7","No. of Male / Female / Transgender tested positive till date","18,11,403/12,91,969/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","328 (69 Govt+ 
259$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","23,372/ 
28,71,535"
"10","Total number of deaths today/ till date","33(15 Private &  
18 Govt) /37,178"
