"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","18047","16962","820","265"
"2","Chengalpattu","210507","189773","18158","2576"
"3","Chennai","688882","621771","58311","8800"
"4","Coimbatore","283219","259975","20701","2543"
"5","Cuddalore","69222","65273","3071","878"
"6","Dharmapuri","31613","29528","1804","281"
"7","Dindigul","34729","33259","816","654"
"8","Erode","116082","109852","5509","721"
"9","Kallakurichi","33675","32237","1228","210"
"10","Kancheepuram","86676","80037","5356","1283"
"11","Kanyakumari","73681","65445","7166","1070"
"12","Karur","26544","25088","1087","369"
"13","Krishnagiri","49820","45576","3882","362"
"14","Madurai","84572","78578","4795","1199"
"15","Mayiladuthurai","24736","23547","868","321"
"16","Nagapattinam","22797","21473","962","362"
"17","Namakkal","58914","55615","2775","524"
"18","Nilgiris","37517","35456","1838","223"
"19","Perambalur","13490","12544","698","248"
"20","Pudukottai","31715","30358","935","422"
"21","Ramanathapuram","22711","21142","1206","363"
"22","Ranipet","48513","45057","2673","783"
"23","Salem","110649","103745","5170","1734"
"24","Sivagangai","21897","20978","706","213"
"25","Tenkasi","29127","27620","1020","487"
"26","Thanjavur","82334","77361","3959","1014"
"27","Theni","46726","44014","2188","524"
"28","Thirupathur","32367","29950","1789","628"
"29","Thiruvallur","137405","127237","8276","1892"
"30","Thiruvannamalai","60365","56680","3008","677"
"31","Thiruvarur","44086","42257","1365","464"
"32","Thoothukudi","61268","58660","2180","428"
"33","Tirunelveli","56650","52168","4041","441"
"34","Tiruppur","107195","100830","5330","1035"
"35","Trichy","86449","81224","4107","1118"
"36","Vellore","55396","52281","1963","1152"
"37","Villupuram","49322","47000","1961","361"
"38","Virudhunagar","51772","48271","2950","551"
"39","Airport Surveillance 
(International)","1208","1186","21","1"
"40","Airport Surveillance 
(Domestic)","1104","1099","4","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","31,03,410","28,71,535","1,94,697","37,178"
