"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2783","113259","2590","110079","34","3013","167"
"2","SAS Nagar","4841","100530","4444","98977","19","1167","386"
"3","Jalandhar","2514","80779","2236","78574","22","1962","243"
"4","Patiala","1937","64017","1787","62170","11","1722","125"
"5","Amritsar","1179","60734","1047","58755","5","1845","134"
"6","Bathinda","1295","52162","1177","50620","3","1426","116"
"7","Hoshiarpur","1096","42205","952","40684","14","1414","107"
"8","Gurdaspur","305","27232","270","26343","3","867","22"
"9","Pathankot","457","24959","405","24420","4","521","18"
"10","Fazilka","357","23789","314","23117","0","621","51"
"11","Muktsar","224","22776","195","22205","2","541","30"
"12","Kapurthala","483","22512","426","21867","5","597","48"
"13","Ropar","944","18882","829","18312","4","459","111"
"14","Ferozepur","410","18303","362","17722","3","540","41"
"15","Mansa","176","17401","166","17002","1","393","6"
"16","Faridkot","355","17191","322","16743","3","414","34"
"17","Sangrur","260","14694","248","13821","6","866","7"
"18","SBS Nagar","393","13795","377","13365","0","409","21"
"19","FG Sahib","628","12543","594","12074","1","437","32"
"20","Moga","207","11206","173","10904","4","270","32"
"21","Tarn Taran","118","11018","95","10600","1","399","19"
"22","Barnala","178","7678","167","7305","4","361","12"
"23","Malerkotla","56","4059","48","3839","3","214","6"
"","Total","21196","781724","19224","759498","152","20458","1768"
