"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87637","20","85509","2108"
"2","SAS Nagar","68881","55","67756","1070"
"3","Jalandhar","63446","50","61900","1496"
"4","Patiala","48942","14","47570","1358"
"5","Amritsar","47408","9","45801","1598"
"6","Bathinda","41751","21","40688","1042"
"7","Hoshiarpur","30861","30","29843","988"
"8","Gurdaspur","22389","7","21581","801"
"9","Fazilka","20278","6","19743","529"
"10","Pathankot","18864","42","18399","423"
"11","Muktsar","18785","2","18259","524"
"12","Kapurthala","17862","9","17297","556"
"13","Sangrur","15768","4","14889","875"
"14","Mansa","15608","2","15226","380"
"15","Ferozepur","14363","11","13848","504"
"16","Faridkot","13937","8","13613","316"
"17","Ropar","12976","9","12543","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8885","8","8542","335"
"20","Moga","8678","1","8444","233"
"21","Tarn Taran","8050","7","7663","380"
"22","Barnala","5954","8","5702","244"
"","Total","602795","323","585900","16572"
