"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2565","113041","2365","109854","31","3010","177"
"2","SAS Nagar","4461","100150","4050","98583","17","1165","402"
"3","Jalandhar","2282","80547","1961","78299","17","1957","291"
"4","Patiala","1778","63858","1595","61978","8","1719","161"
"5","Amritsar","1041","60596","903","58611","4","1844","141"
"6","Bathinda","1181","52048","1044","50487","2","1425","136"
"7","Hoshiarpur","986","42128","822","40554","11","1411","163"
"8","Gurdaspur","280","27207","238","26311","3","867","29"
"9","Pathankot","431","24933","370","24385","3","520","28"
"10","Fazilka","303","23735","296","23099","0","621","15"
"11","Muktsar","187","22739","167","22177","0","539","23"
"12","Kapurthala","426","22455","372","21814","3","595","46"
"13","Ropar","836","18774","728","18211","4","459","104"
"14","Ferozepur","377","18270","328","17688","3","540","42"
"15","Mansa","168","17393","161","16997","1","393","3"
"16","Faridkot","319","17154","296","16717","3","413","24"
"17","Sangrur","246","14680","234","13807","5","865","8"
"18","SBS Nagar","351","13753","322","13310","0","409","34"
"19","FG Sahib","566","12481","528","12008","1","437","36"
"20","Moga","174","11173","146","10877","3","269","27"
"21","Tarn Taran","106","11006","86","10591","1","399","16"
"22","Barnala","161","7661","151","7289","4","361","11"
"23","Malerkotla","50","4053","44","3835","3","214","4"
"","Total","19275","779835","17207","757482","127","20432","1921"
