"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19606","10","267"
"2","Chengalpattu","235179","232143","379","2657"
"3","Chennai","750283","740327","891","9065"
"4","Coimbatore","329689","326585","490","2614"
"5","Cuddalore","74220","73272","55","893"
"6","Dharmapuri","36167","35865","19","283"
"7","Dindigul","37464","36778","21","665"
"8","Erode","132631","131778","119","734"
"9","Kallakurichi","36513","36289","9","215"
"10","Kancheepuram","94329","92912","115","1302"
"11","Kanyakumari","86175","85003","87","1085"
"12","Karur","29748","29353","23","372"
"13","Krishnagiri","59608","59180","58","370"
"14","Madurai","91010","89738","36","1236"
"15","Mayiladuthurai","26494","26159","6","329"
"16","Nagapattinam","25433","25038","20","375"
"17","Namakkal","67985","67375","76","534"
"18","Nilgiris","42047","41663","158","226"
"19","Perambalur","14457","14201","7","249"
"20","Pudukottai","34453","34010","17","426"
"21","Ramanathapuram","24660","24278","14","368"
"22","Ranipet","53909","53096","26","787"
"23","Salem","127326","125451","113","1762"
"24","Sivagangai","23802","23536","47","219"
"25","Tenkasi","32736","32238","8","490"
"26","Thanjavur","92087","90990","58","1039"
"27","Theni","50589","50050","7","532"
"28","Thirupathur","35723","35084","6","633"
"29","Thiruvallur","147377","145289","149","1939"
"30","Thiruvannamalai","66785","66073","28","684"
"31","Thiruvarur","48001","47499","30","472"
"32","Thoothukudi","64937","64460","30","447"
"33","Tirunelveli","62740","62261","34","445"
"34","Tiruppur","129865","128698","115","1052"
"35","Trichy","94908","93641","107","1160"
"36","Vellore","57227","55983","81","1163"
"37","Villupuram","54576","54185","25","366"
"38","Virudhunagar","56803","56220","29","554"
"39","Airport Surveillance 
(International)","1243","1240","2","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,50,594","34,09,078","3,505","38,011"
