"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","88863","1097","85646","2120"
"2","SAS Nagar","70388","1274","68038","1076"
"3","Jalandhar","64543","872","62169","1502"
"4","Patiala","51991","2916","47709","1366"
"5","Amritsar","48064","586","45879","1599"
"6","Bathinda","42165","331","40785","1049"
"7","Hoshiarpur","31294","260","30035","999"
"8","Gurdaspur","22687","256","21626","805"
"9","Fazilka","20324","35","19758","531"
"10","Pathankot","19904","774","18696","434"
"11","Muktsar","18823","14","18284","525"
"12","Kapurthala","18087","160","17371","556"
"13","Sangrur","15870","92","14902","876"
"14","Mansa","15636","24","15231","381"
"15","Ferozepur","14547","65","13978","504"
"16","Faridkot","14002","37","13644","321"
"17","Ropar","13120","104","12588","428"
"18","SBS Nagar","11542","48","11104","390"
"19","FG Sahib","9214","294","8582","338"
"20","Moga","8750","62","8454","234"
"21","Tarn Taran","8169","89","7699","381"
"22","Barnala","5993","35","5710","248"
"","Total","613976","9425","587888","16663"
