,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,tested_last_updated_state,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10740,10611,129,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,990645,347587,353078,289980,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,0,1,1,2,0,3,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2339001,2324175,14733,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,110483288,44700195,47570344,18212749,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,39,67,7569,7675,3,14,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66884,66583,296,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,1894827,959125,818388,117314,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,15,30,232,277,1,1,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746079,735492,8035,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,50202248,24805216,22096339,3300693,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,50,818,961,1829,0,0,0,,,1332900000,Assam,34293000
4,Bihar,851274,838898,12302,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,156872749,73425858,67776481,15670410,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,1885,5716,10849,18450,17,8,0,,,1332900000,Bihar,119520000
5,Chandigarh,99318,98118,1181,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,2279639,1184708,984648,110283,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,3,14,8,25,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177645,1163398,14144,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,48968478,21260098,20290840,7417540,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,67,208,1048,1323,9,22,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11591,11585,4,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,1577299,782139,636645,158515,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,6,13,61,80,1,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2006608,1979864,26513,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,37325173,18287824,15699941,3337408,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,24,55,134,213,34,41,0,,,1332900000,Delhi,19814000
9,Goa,258868,254759,4013,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,2871426,1439709,1295032,136685,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,11,33,55,99,20,23,0,,,1332900000,Goa,1540000
10,Gujarat,1277088,1265652,11040,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,127519726,54378955,53985382,19155389,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,72,181,1356,1609,22,47,0,,,1332900000,Gujarat,67936000
11,Haryana,1056335,1045487,10712,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,45424877,23669341,19818697,1936839,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,18,54,285,357,9,22,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,312490,308247,4211,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,15188912,6643418,6313996,2231498,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,2,25,133,160,5,6,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,479310,474506,4785,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,24702992,11370141,11762964,1569887,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,16,16,620,652,2,2,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,442553,437190,5331,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,43454133,23905682,17659209,1889242,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,935,2080,4362,7377,1,1,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4069828,4027690,40300,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,120576828,55145207,55258035,10173586,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,768,4518,5309,10595,101,135,0,,,1332900000,Karnataka,65798000
16,Kerala,6823483,6749516,71422,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,57438938,29143991,25248781,3046166,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,119,449,953,1521,132,187,0,,,1332900000,Kerala,35125000
17,Ladakh,29394,29162,231,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,561890,238225,203592,120073,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,0,1,10,11,0,4,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11415,11363,52,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,143639,61802,60433,21404,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,0,0,15,15,0,0,0,,,1332900000,Lakshadweep,68000
19,Madhya Pradesh,1054831,1043991,10776,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,133527752,60742863,59195922,13588967,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,13,23,149,185,7,9,0,,,1332900000,Madhya Pradesh,82232000
20,Maharashtra,8133682,7983868,148396,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,177500684,91626348,76496953,9377383,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,151,351,688,1190,188,293,2,,,1332900000,Maharashtra,122153000
21,Manipur,139894,137737,2149,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,3257935,1647756,1334683,275496,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,37,116,280,433,3,0,0,,,1332900000,Manipur,3103000
22,Meghalaya,96769,95141,1624,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,2617479,1446009,1086290,85180,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,11,13,37,61,1,1,0,,,1332900000,Meghalaya,3224000
23,Mizoram,238879,238105,726,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,1787541,894098,747847,145596,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,0,2,32,34,8,14,0,,,1332900000,Mizoram,1192000
24,Nagaland,35985,35202,782,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,1735652,923333,743748,68571,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,1,1,9,11,1,0,0,,,1332900000,Nagaland,2150000
25,Odisha,1336278,1326915,9204,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,81416269,35249303,32998256,13168710,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,16,60,962,1038,11,53,0,,,1332900000,Odisha,43671000
26,Puducherry,175448,173421,1975,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,2257881,993979,863107,400795,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,10,59,181,250,7,12,0,,,1332900000,Puducherry,1504000
27,Punjab,785257,764670,19289,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,46923636,24147953,20958687,1816996,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,99,109,168,376,3,10,0,,,1332900000,Punjab,29859000
28,Rajasthan,1314766,1304777,9646,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,114981637,56986821,50802406,7192410,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,232,630,1639,2501,31,18,0,,,1332900000,Rajasthan,77264000
29,Sikkim,44300,43794,499,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,1356811,591824,554522,210465,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,0,4,20,24,0,0,0,,,1332900000,Sikkim,664000
30,Tamil Nadu,3593023,3554067,38048,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,127230427,61176606,57097491,8956330,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,554,3253,2932,6739,104,169,0,,,1332900000,Tamil Nadu,75695000
31,Telangana,840669,836164,4111,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,77079757,32433043,31517221,13129493,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,108,362,5672,6142,46,71,0,,,1332900000,Telangana,37220000
32,Tripura,108025,107077,940,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,5906033,2915990,2519607,470436,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,24,199,104,327,1,4,0,,,1332900000,Tripura,3992000
33,Uttarakhand,449195,441394,7751,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,19992864,9113360,8717750,2161754,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,21,163,1425,1609,2,9,0,,,1332900000,Uttarakhand,11141000
34,Uttar Pradesh,2127797,2103906,23631,2022-11-09,TT,44662952,530511,44118882,2022-11-09 20:04:42.379207,2022-11-09 20:04:42.379504,902233657,2197500560,1026925262,950333478,220241820,390310930,176939013,168754638,44617279,https://www.icmr.gov.in/,811,2,1271,129097,39456,17174,4505,61135,251,913,2991,4155,17,48,0,,,1332900000,Uttar Pradesh,224979000
