"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 12-10-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","16","98","300492","299366[21]","99.63","1028","44","33","77","5710961"
"2","Faridabad","2","18","135628","134869[1]","99.44","741","7","1","8","4182011"
"3","Hisar","0","3","63861","62676[1]","98.14","1182","0","3","10","2438371"
"4","Sonipat","0","3","59579","59300","99.53","276","1","2","8","2359295"
"5","Karnal","0","6","49892","49286[3]","98.79","600","6","25","19","2467546"
"6","Panchkula","5","8","48354","47925[3]","99.11","421","6","10","64","1178341"
"7","Ambala","0","6","42831","42283","98.72","542","1","49","32","2209133"
"8","Panipat","0","4","36753","36072","98.15","677","4","5","27","2130298"
"9","Sirsa","0","1","34214","33667","98.40","546","0","4","5","1989819"
"10  Rohtak","","1","7","33176","32615","98.31","537","7","45","48","1815016"
"","11  Yamunanagar","5","6","32691","32227[4]","98.58","458","6","7","23","2040341"
"","12  Kurukshetra","2","8","27821","27406[1]","98.51","407","2","6","80","1627748"
"13  Bhiwani","","1","9","27181","26505[1]","97.51","667","1","5","10","1882812"
"14","Jind","0","3","25411","24864","97.85","544","7","23","0","1782451"
"","15  Mahendragarh","0","2","25003","24836","99.33","165","2","23","73","1449264"
"16  Rewari","","0","0","24985","24761","99.10","224","0","10","70","1629222"
"17","Jhajjar","0","3","24104","23740[2]","98.49","355","6","22","33","1634625"
"18  Fatehabad","","0","2","20295","19793","97.53","500","0","0","3","1215505"
"19  Kaithal","","2","7","15205","14822","97.48","376","3","50","226","1898577"
"20  Palwal","","0","0","13657","13481","98.71","176","0","5","13","1577992"
"21","Charkhi Dadri","0","1","8074","7926","98.17","147","0","3","40","956304"
"22  Nuh","","0","1","6179","6039","97.73","139","0","0","0","1227289"
"Haryana","","34","196","1055386","1044459[37]","98.96","10708","103","331","869","45402921"
