,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-06-16,LA,LEH,,,,23022,168,22826,,2022-06-17T11:55:20.138955+05:30,,,,28305,228,28047,689922,0,0
1,2022-06-16,LA,KARGIL,,,,5283,60,5221,,2022-06-17T11:55:20.138955+05:30,,,,28305,228,28047,689922,0,0
