"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
25-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","5","181666","180675[13]","99.45","924","67","2395","9310","3806817"
"2","Faridabad","5","99934","99201","99.27","717[1]","16","3004","7124","2681893"
"3","Hisar","0","53996","52860","97.90","1136","0","1093","5187","1407351"
"4","Sonepat","1","47140","46885","99.46","254","1","1635","6514","1509940"
"5","Karnal","0","40041","39488[1]","98.62","552","1","1992","6405","1557934"
"6","Panipat","0","31153","30515","97.95","638","0","1922","5315","1221281"
"7","Panchkula","4","30819","30409","98.67","379","31","320","1930","786950"
"8","Ambala","0","30150","29641","98.31","509","0","720","5529","1550948"
"9","Sirsa","0","29283","28774","98.26","508","1","1718","4846","1168126"
"10","Rohtak","0","25915","25362","97.87","534","2","1258","3916","1069035"
"11","Yamunanagar","1","24639","24221","98.30","414","4","620","5113","1232942"
"12","Bhiwani","0","22409","21757","97.09","652","0","1157","7808","1184354"
"13","Kurukshetra","0","22152","21793","98.38","357","2","861","3881","918947"
"14","Mahindergarh","0","21689","21534","99.29","155","0","820","3008","915582"
"15","Jind","0","21210","20676","97.48","533","1","1055","3469","1041351"
"16","Rewari","0","20329","20108","98.91","221","0","1143","4075","1024502"
"17","Jhajjar","0","18850","18516","98.23","328","0","827","4265","1073103"
"18","Fatehabad","0","17880","17395","97.29","482","3","552","2503","820625"
"19","Kaithal","1","11247","10899","96.91","346","2","1607","6651","937980"
"20","Palwal","0","11028","10873","98.59","153","2","3591","5024","925456"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","427","2595","658841"
"22","Nuh","0","5014","4891","97.55","123","0","15927","2199","628967"
"Total","","17","771622","761412[14]","98.68","10054[1]","133","44644","106667","28122925"
