"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","2087","1093722","1","19583"
"2","Thane","45","118776","0","2289"
"3","TMC","375","193867","0","2164"
"4","Navi Mumbai","330","171075","0","2090"
"5","KDMC","92","177169","0","2974"
"6","Ulhasnagar MC","7","26651","0","680"
"7","Bhivandi Nijampur MC","2","13189","0","496"
"8","Mira Bhayandar MC","76","77732","0","1227"
"9","Palghar","10","64845","0","1244"
"10","Vasai Virar MC","121","100205","0","2164"
"11","Raigad","103","139339","0","3465"
"12","Panvel MC","110","107533","0","1482"
"","Mumbai circle total","3358","2284103","1","39858"
"13","Nashik","18","183842","0","3814"
"14","Nashik MC","21","278333","0","4752"
