District,Recovered,Deceased,Active
गौतम बिु नगर,101570,490,231
गाज़ियाबाद,85913,473,126
लखनऊ,294503,2694,82
बादा,12079,168,53
झासी,43921,675,46
िाराणसी,97691,988,28
हमीरपरु,6128,102,25
मरेठ,88194,932,23
फतहेपरु,8316,141,17
आगरा,35964,465,16
लललतपरु,14839,134,16
अमरोहा,19298,208,15
कानपरु नगर,91625,1923,13
जालौन,13874,209,12
प्रयागराज,87470,1118,12
क्रिरोजाबाद,10589,136,9
मनैपरुी,11497,189,9
राय बरेली,21359,348,9
बलुदंशहर,26380,254,8
लखीमपरु-खीरी,30036,300,8
अयोध्या,18684,293,7
फरु्रखाबाद,11883,197,7
मथरुा,25626,406,7
इटावा,15785,296,6
जौनपरु,24394,244,5
महाराजगजं,14744,146,5
सभंल,11027,109,5
सोनभद्र,18674,257,5
अलीगढ,25505,113,4
बाराबकंी,23717,227,4
चदंौली,17551,380,4
कन्नौज,10852,126,4
मरुादाबाद,46099,368,4
सलु्तानपरु,16874,144,4
उन्नाव,16932,257,4
आजमगढ़,19455,235,3
बागपत,11073,144,3
बरेली,50113,377,3
देवररया,22409,230,3
गोंडा,14164,285,3
गोरखपरु,65980,866,3
मजुफ्फरनगर,38339,277,3
शाहजहांपरु,24408,447,3
