"S. No","Subject","Number"
"1","Total Number of people vaccinated on 8th Dec","4,48,929"
"2","First Dose on 8th Dec","71,798"
"3","Second Dose on 8th Dec","3,77,131"
"4","Cumulative Vaccination till 8th Dec","9,51,82,606"
"5","Cumulative Vaccination First Dose","6,36,84,421"
"6","Cumulative Vaccination Second Dose","3,14,98,185"
"7","Number of CVC (Common Vaccination Centres)","5,323"
"8","Cumulative AEFI cases reported","5,795"
"9","Vaccine wastage","-7%"
