,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-10,DL,Central Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
1,1,2021-12-10,DL,East Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
2,2,2021-12-10,DL,New Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
3,3,2021-12-10,DL,North Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
4,4,2021-12-10,DL,North East Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
5,5,2021-12-10,DL,North West Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
6,6,2021-12-10,DL,Shahdara,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
7,7,2021-12-10,DL,South Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
8,8,2021-12-10,DL,South East Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
9,9,2021-12-10,DL,South West Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
10,10,2021-12-10,DL,West Delhi,,,,,,,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
11,11,2021-12-10,DL,Unknown,,,,1441610.0,25100.0,1416140.0,,2021-12-11 11:06:00.277486,,,,1441610,25100,1416140,31496570
