"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87649","15","85525","2109"
"2","SAS Nagar","68909","38","67800","1071"
"3","Jalandhar","63462","33","61932","1497"
"4","Patiala","48948","7","47582","1359"
"5","Amritsar","47417","8","45811","1598"
"6","Bathinda","41766","24","40699","1043"
"7","Hoshiarpur","30885","27","29867","991"
"8","Gurdaspur","22394","7","21585","802"
"9","Fazilka","20279","4","19746","529"
"10","Pathankot","18893","39","18431","423"
"11","Muktsar","18786","2","18260","524"
"12","Kapurthala","17865","8","17301","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15608","2","15226","380"
"15","Ferozepur","14379","24","13851","504"
"16","Faridkot","13938","7","13614","317"
"17","Ropar","12976","2","12550","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8899","15","8548","336"
"20","Moga","8682","4","8444","234"
"21","Tarn Taran","8051","2","7669","380"
"22","Barnala","5954","8","5702","244"
"","Total","602980","279","586117","16584"
