"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109591","160","107159","2272"
"2","SAS Nagar","95391","292","93958","1141"
"3","Jalandhar","78068","172","76324","1572"
"4","Patiala","61935","51","60428","1456"
"5","Amritsar","59296","44","57572","1680"
"6","Bathinda","50730","112","49531","1087"
"7","Hoshiarpur","40671","87","39493","1091"
"8","Gurdaspur","26875","47","25966","862"
"9","Pathankot","24412","118","23806","488"
"10","Fazilka","23291","109","22638","544"
"11","Muktsar","22507","64","21906","537"
"12","Kapurthala","21962","63","21320","579"
"13","Ropar","17897","33","17412","452"
"14","Ferozepur","17824","35","17259","530"
"15","Mansa","17218","2","16825","391"
"16","Faridkot","16683","48","16297","338"
"17","Sangrur","14301","15","13551","735"
"18","SBS Nagar","13372","12","12957","403"
"19","FG Sahib","11813","13","11446","354"
"20","Moga","10968","19","10695","254"
"21","Tarn Taran","10869","72","10404","393"
"22","Barnala","7452","35","7090","327"
"23","Malerkotla","3964","3","3785","176"
"","Total","757090","1606","737822","17662"
