"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","57","3","61625","0","4512","66131","23"
"Bageshwar","0","4","33952","0","2088","36036","0"
"Chamoli","33","32","46376","0","3197","49571","12"
"Champawat","60","91","59382","0","1909","61288","22"
"Dehradun","188","304","357127","5","32892","389884","51"
"Haridwar","70","79","301904","7","13093","314967","23"
"Nainital","34","78","77522","0","11311","88763","13"
"Pauri Garhwal","80","65","90755","0","5265","96013","51"
"Pithoragarh","61","22","39226","0","2558","41772","24"
"Rudraprayag","5","7","26354","0","2702","29056","5"
"Tehri Garhwal","1","10","33083","0","2352","35428","10"
"US Nagar","64","26","130790","0","8783","139549","21"
"Uttarkashi","10","118","36304","0","1639","37941","5"
"Total","663","839","1294400","12","92301","1386399","260"
