"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87763","48","85598","2117"
"2","SAS Nagar","69106","56","67976","1074"
"3","Jalandhar","63601","58","62042","1501"
"4","Patiala","49045","39","47643","1363"
"5","Amritsar","47455","8","45848","1599"
"6","Bathinda","41823","12","40764","1047"
"7","Hoshiarpur","31028","29","30002","997"
"8","Gurdaspur","22423","8","21612","803"
"9","Fazilka","20287","3","19753","531"
"10","Pathankot","19076","75","18567","434"
"11","Muktsar","18807","1","18282","524"
"12","Kapurthala","17907","16","17335","556"
"13","Sangrur","15773","3","14895","875"
"14","Mansa","15612","2","15229","381"
"15","Ferozepur","14481","2","13975","504"
"16","Faridkot","13960","3","13637","320"
"17","Ropar","13011","4","12579","428"
"18","SBS Nagar","11484","6","11089","389"
"19","FG Sahib","8913","6","8569","338"
"20","Moga","8686","2","8450","234"
"21","Tarn Taran","8080","2","7697","381"
"22","Barnala","5958","9","5705","244"
"","Total","604279","392","587247","16640"
