"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35181","0","34845","3","0","333","0",""
"","2","Ballari","0","97790","0","95998","106","0","1686","0",""
"","3","Belagavi","3","79979","1","78970","66","0","943","0",""
"","4","Bengaluru Rural","4","62086","3","61164","32","0","890","0",""
"","5","Bengaluru Urban","149","1255984","105","1234377","5279","0","16327","1",""
"","6","Bidar","2","24346","0","23939","2","0","401","4",""
"","7","Chamarajanagara","3","33051","5","32511","26","0","503","11",""
"","8","Chikkaballapura","1","43974","0","43535","7","0","431","1",""
"","9","Chikkamagaluru","4","51209","4","50764","49","0","396","0",""
"","10","Chitradurga","5","36724","2","36468","47","1","209","0",""
"","11","Dakshina 
Kannada","13","115832","7","114010","128","0","1687","7",""
"","12","Davanagere","0","51002","0","50382","12","0","608","0",""
"","13","Dharwada","76","61240","3","59688","228","1","1322","2",""
"","14","Gadag","2","26071","0","25747","5","0","319","0",""
"","15","Hassana","7","112022","1","110686","76","0","1258","2",""
"","16","Haveri","0","21949","1","21305","1","0","643","0",""
"","17","Kalaburagi","0","61949","0","61122","5","0","822","0",""
"","18","Kodagu","3","37226","2","36834","60","0","331","1",""
"","19","Kolara","1","47012","5","46351","22","0","639","0",""
"","20","Koppala","2","35201","0","34661","13","0","527","0",""
"","21","Mandya","1","73849","1","73165","30","0","654","0",""
"","22","Mysuru","27","179702","19","177043","238","0","2421","0",""
"","23","Raichuru","0","39980","0","39646","1","0","333","0",""
"","24","Ramanagara","0","24214","0","23886","5","0","323","0",""
"","25","Shivamogga","3","69522","0","68341","91","0","1090","0",""
"","26","Tumakuru","7","121056","8","119805","115","1","1136","0",""
"","27","Udupi","5","76875","5","76331","56","0","488","0",""
"","28","Uttara Kannada","4","56397","4","55580","45","0","772","0",""
"","29","Vijayapura","0","36278","0","35779","4","0","495","0",""
"","30","Yadagiri","0","27548","0","27340","2","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","322","2995285","176","2950306","6754","3","38196","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 27-11-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
