"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","12","0","1","0","1933","1905","16"
"East Jaintia Hills","34","1","6","0","2497","2431","32"
"East Khasi Hills","1437","201","140","1","44620","42164","1019"
"Eastern West Khasi Hills","21","3","0","0","27","4","2"
"North Garo Hills","12","0","0","0","1699","1679","8"
"Ri-Bhoi","143","24","6","0","9938","9705","90"
"South Garo Hills","18","1","0","0","1239","1209","12"
"South West Garo Hills","20","8","3","0","1896","1858","18"
"South West Khasi Hills","16","2","2","0","2572","2539","17"
"West Garo Hills","319","70","28","0","9576","9184","73"
"West Jaintia Hills","61","6","8","0","6908","6711","136"
"West Khasi Hills","28","2","4","0","5554","5452","74"
"Total","2121","318","198","1","88459","84841","1497"
