"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","1803","1079825","2","19573"
"2","Thane","32","118393","0","2289"
"3","TMC","250","191713","0","2163"
"4","Navi Mumbai","243","168926","0","2090"
"5","KDMC","49","176601","0","2974"
"6","Ulhasnagar MC","11","26574","0","680"
"7","Bhivandi Nijampur MC","4","13165","0","496"
"8","Mira Bhayandar MC","52","77203","0","1227"
"9","Palghar","8","64746","0","1244"
"10","Vasai Virar MC","60","99563","0","2163"
"11","Raigad","55","138766","0","3463"
"12","Panvel MC","83","106811","0","1482"
"","Mumbai circle total","2650","2262286","2","39844"
"13","Nashik","5","183788","0","3814"
"14","Nashik MC","11","278217","0","4752"
