"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2923","113399","2839","110328","37","3016","55"
"2","SAS Nagar","5113","100802","4985","99518","19","1167","117"
"3","Jalandhar","2706","80971","2591","78929","31","1971","71"
"4","Patiala","2044","64124","1973","62356","11","1722","46"
"5","Amritsar","1326","60881","1262","58970","6","1846","65"
"6","Bathinda","1426","52293","1353","50796","3","1426","71"
"7","Hoshiarpur","1234","42343","1148","40880","16","1416","47"
"8","Gurdaspur","332","27259","304","26377","4","868","14"
"9","Pathankot","487","24989","436","24451","4","521","17"
"10","Fazilka","438","23870","418","23221","0","621","28"
"11","Muktsar","255","22807","236","22246","3","542","19"
"12","Kapurthala","526","22555","495","21936","7","599","20"
"13","Ropar","1067","19005","999","18482","4","459","64"
"14","Ferozepur","446","18339","414","17774","3","540","25"
"15","Mansa","184","17409","178","17014","1","393","2"
"16","Faridkot","372","17208","365","16786","3","414","8"
"17","Sangrur","271","14705","261","13834","9","869","2"
"18","SBS Nagar","429","13831","413","13401","0","409","21"
"19","FG Sahib","673","12588","656","12136","1","437","15"
"20","Moga","228","11227","217","10948","4","270","9"
"21","Tarn Taran","139","11039","116","10621","1","399","19"
"22","Barnala","202","7702","189","7327","5","362","13"
"23","Malerkotla","60","4063","57","3848","3","214","1"
"","Total","22881","783409","21905","762179","175","20481","749"
