Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Anantapur,10,0,7,,18433,8442,0,66.0,0.0,59.0,,150155.0,112509.0,4083315,,,,158124,1093,156950,,3082476,2172505,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Chittoor,35,0,21,,27468,23692,0,178.0,2.0,181.0,,115208.0,140862.0,4170468,,,,248254,1957,246020,,3080277,2475591,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,East Godavari,13,0,14,,24544,12497,0,144.0,0.0,137.0,,84376.0,103640.0,5151549,,,,294850,1290,293157,,3705235,2611675,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Guntur,15,0,20,,15151,14561,0,113.0,4.0,145.0,,118694.0,83979.0,4889230,,,,179016,1254,177571,,3758706,2361300,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Krishna,19,1,25,,30709,12446,0,155.0,7.0,223.0,,276247.0,103425.0,4529009,,,,120462,1466,118707,,3477803,2583898,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Kurnool,0,0,1,,5915,35554,0,6.0,0.0,7.0,,37674.0,177134.0,4046601,,,,124204,854,123344,,2905713,1887024,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Other Countries,0,0,0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,,,,434,0,434,,0,0,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Other States,0,0,0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,,,,2461,0,2461,,0,0,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Prakasam,1,0,2,,8237,19161,0,32.0,0.0,16.0,,41098.0,59345.0,3392764,,,,138743,1129,137555,,2621327,1902833,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,S.P.S. Nellore,11,0,16,,16375,6661,0,59.0,0.0,118.0,,71707.0,51908.0,2966082,,,,146941,1054,145690,,2333955,1718937,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Srikakulam,23,1,10,,28194,12330,0,81.0,1.0,97.0,,155368.0,52585.0,2699471,,,,123532,790,122641,,1881560,1245193,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Visakhapatnam,28,0,12,,11193,20974,0,147.0,1.0,89.0,,59677.0,144017.0,4288113,,,,158607,1135,157235,,3150742,2346125,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Vizianagaram,4,1,2,,24376,3228,0,28.0,1.0,25.0,,199491.0,19630.0,2342868,,,,83088,673,82382,,1814433,1250715,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,West Godavari,32,0,32,,36795,3857,0,121.0,0.0,106.0,,311009.0,40500.0,3934782,,,,179788,1121,178529,,3034338,2211831,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
2021-12-09,AP,193,3,164,31101,277656,177883,0,1158.0,16.0,1243.0,206673.0,1807526.0,1129972.0,Y.S.R. Kadapa,2,0,2,,30266,4480,0,28.0,0.0,40.0,,186822.0,40438.0,2884524,,,,115906,644,115237,,2143976,1535504,2021-12-09 23:58:40.749133,52221000,2021-12-09 23:58:40.749663,,,2074410,14460,2057913,30682613,36990541,26303131
