,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
1,2021-10-26,WB,Alipurduar,,,,15564,102,15416,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,923544,332172,1258439,1588066,19081,1561136,18995979,53664679,20361143,74025822
2,2021-10-26,WB,Cooch Behar,,,,29219,97,28994,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1370283,405185,1789751,1588066,19081,1561136,18995979,53664679,20361143,74025822
3,2021-10-26,WB,Darjeeling,,,,56998,538,56173,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1310807,622470,1945185,1588066,19081,1561136,18995979,53664679,20361143,74025822
4,2021-10-26,WB,Kalimpong,,,,7021,54,6930,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,180387,117184,299801,1588066,19081,1561136,18995979,53664679,20361143,74025822
5,2021-10-26,WB,Jalpaiguri,,,,41894,566,41171,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1103450,368521,1483359,1588066,19081,1561136,18995979,53664679,20361143,74025822
6,2021-10-26,WB,Uttar Dinajpur,,,,19821,236,19526,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1271029,413340,1693587,1588066,19081,1561136,18995979,53664679,20361143,74025822
7,2021-10-26,WB,Dakshin Dinajpur,,,,17799,169,17495,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1033100,349172,1389374,1588066,19081,1561136,18995979,53664679,20361143,74025822
8,2021-10-26,WB,Malda,,,,33339,186,33084,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1900243,553684,2502776,1588066,19081,1561136,18995979,53664679,20361143,74025822
9,2021-10-26,WB,Murshidabad,,,,33951,327,33575,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,3506212,916730,4485023,1588066,19081,1561136,18995979,53664679,20361143,74025822
10,2021-10-26,WB,Nadia,,,,73111,853,71820,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,2597445,820240,3452176,1588066,19081,1561136,18995979,53664679,20361143,74025822
11,2021-10-26,WB,Birbhum,,,,41050,286,40648,18995979,2021-11-10T13:55:11.248115+05:30,2021-11-10T13:55:11.248115+05:30,,,1308716,499745,1822918,1588066,19081,1561136,18995979,53664679,20361143,74025822
