,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-10-26,AS,Kamrup Metro,,,,20663.0,53.0,14599.0,,,,,63990.0,161.0,45138.0,
1,2021-10-26,AS,Dibrugarh,,,,3927.0,17.0,2409.0,,,,,63990.0,161.0,45138.0,
2,2021-10-26,AS,Nagaon,,,,3895.0,4.0,2506.0,,,,,63990.0,161.0,45138.0,
3,2021-10-26,AS,Tinsukia,,,,3366.0,17.0,1798.0,,,,,63990.0,161.0,45138.0,
4,2021-10-26,AS,Jorhat,,,,3338.0,10.0,1752.0,,,,,63990.0,161.0,45138.0,
5,2021-10-26,AS,Cachar,,,,3302.0,10.0,1498.0,,,,,63990.0,161.0,45138.0,
6,2021-10-26,AS,Kamrup,,,,2902.0,8.0,2074.0,,,,,63990.0,161.0,45138.0,
7,2021-10-26,AS,Golaghat,,,,2387.0,2.0,1656.0,,,,,63990.0,161.0,45138.0,
8,2021-10-26,AS,Sonitpur,,,,2351.0,3.0,1727.0,,,,,63990.0,161.0,45138.0,
9,2021-10-26,AS,Darrang,,,,1967.0,5.0,1730.0,,,,,63990.0,161.0,45138.0,
10,2021-10-26,AS,Dhubri,,,,1723.0,1.0,1215.0,,,,,63990.0,161.0,45138.0,
11,2021-10-26,AS,Hailakandi,,,,1387.0,2.0,1116.0,,,,,63990.0,161.0,45138.0,
12,2021-10-26,AS,Hojai,,,,1345.0,1.0,1160.0,,,,,63990.0,161.0,45138.0,
13,2021-10-26,AS,Lakhimpur,,,,1266.0,,1135.0,,,,,63990.0,161.0,45138.0,
14,2021-10-26,AS,Barpeta,,,,1121.0,1.0,1024.0,,,,,63990.0,161.0,45138.0,
15,2021-10-26,AS,Bongaigaon,,,,1113.0,,834.0,,,,,63990.0,161.0,45138.0,
16,2021-10-26,AS,Karimganj,,,,1025.0,8.0,955.0,,,,,63990.0,161.0,45138.0,
17,2021-10-26,AS,Nalbari,,,,948.0,3.0,828.0,,,,,63990.0,161.0,45138.0,
18,2021-10-26,AS,Udalguri,,,,758.0,1.0,666.0,,,,,63990.0,161.0,45138.0,
19,2021-10-26,AS,Goalpara,,,,658.0,,568.0,,,,,63990.0,161.0,45138.0,
20,2021-10-26,AS,Morigaon,,,,638.0,2.0,557.0,,,,,63990.0,161.0,45138.0,
21,2021-10-26,AS,Karbi Anglong,,,,632.0,4.0,552.0,,,,,63990.0,161.0,45138.0,
22,2021-10-26,AS,Sivasagar,,,,529.0,2.0,473.0,,,,,63990.0,161.0,45138.0,
23,2021-10-26,AS,Dhemaji,,,,502.0,1.0,440.0,,,,,63990.0,161.0,45138.0,
24,2021-10-26,AS,Baksa,,,,487.0,1.0,447.0,,,,,63990.0,161.0,45138.0,
25,2021-10-26,AS,Biswanath,,,,467.0,,379.0,,,,,63990.0,161.0,45138.0,
26,2021-10-26,AS,Kokrajhar,,,,408.0,4.0,353.0,,,,,63990.0,161.0,45138.0,
27,2021-10-26,AS,Chirang,,,,280.0,,219.0,,,,,63990.0,161.0,45138.0,
28,2021-10-26,AS,Dima Hasao,,,,237.0,,199.0,,,,,63990.0,161.0,45138.0,
29,2021-10-26,AS,Majuli,,,,165.0,,80.0,,,,,63990.0,161.0,45138.0,
30,2021-10-26,AS,Charaideo,,,,113.0,1.0,105.0,,,,,63990.0,161.0,45138.0,
31,2021-10-26,AS,South Salmara Mankachar,,,,51.0,,47.0,,,,,63990.0,161.0,45138.0,
32,2021-10-26,AS,West Karbi Anglong,,,,39.0,,37.0,,,,,63990.0,161.0,45138.0,
33,2021-10-26,AS,Bajali,,,,,,,,,,,63990.0,161.0,45138.0,
