,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinatedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaVaccinatedForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaVaccinatedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaVaccinatedForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,statePopulation,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2021-10-26,India,,,,,,,,,Andaman and Nicobar,,,,,,,,,,,,,7648,129,7513,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
1,2021-10-26,India,,,,,,,,,Andhra Pradesh,,,,,,,,,,,,,2063577,14343,2044132,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
2,2021-10-26,India,,,,,,,,,Arunachal Pradesh,,,,,,,,,,,,,55089,280,54677,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
3,2021-10-26,India,,,,,,,,,Assam,,,,,,,,,,,,,608589,5973,598759,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
4,2021-10-26,India,,,,,,,,,Bihar,,,,,,,,,,,,,726058,9661,716359,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
5,2021-10-26,India,,,,,,,,,Chandigarh,,,,,,,,,,,,,65323,820,64475,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
6,2021-10-26,India,,,,,,,,,Chhattisgarh,,,,,,,,,,,,,1005847,13572,992056,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
7,2021-10-26,India,,,,,,,,,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,10679,4,10671,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
8,2021-10-26,India,,,,,,,,,Delhi,,,,,,,,,,,,,1439603,25091,1414192,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
9,2021-10-26,India,,,,,,,,,Goa,,,,,,,,,,,,,177886,3358,173983,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
10,2021-10-26,India,,,,,,,,,Gujarat,,,,,,,,,,,,,826418,10087,816167,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
11,2021-10-26,India,,,,,,,,,Haryana,,,,,,,,,,,,,771157,10049,760981,,,2021-10-26 09:34:44.036666,,,,34189774,454712,33567367,,1022712895
