,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2,2021-10-26,HR,Gurugram,,,,181387,922,180425,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:30,,,2182113,1347574,3540945,771189,10049,761012,12919062,17674592,7887852,25562444
3,2021-10-26,HR,Faridabad,,,,99891,716,99152,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:31,,,1646118,820782,2473454,771189,10049,761012,12919062,17674592,7887852,25562444
4,2021-10-26,HR,Hisar,,,,53994,1136,52857,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:32,,,991469,325942,1319886,771189,10049,761012,12919062,17674592,7887852,25562444
5,2021-10-26,HR,Sonipat,,,,47138,254,46883,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:33,,,983032,398489,1386200,771189,10049,761012,12919062,17674592,7887852,25562444
6,2021-10-26,HR,Karnal,,,,40036,552,39484,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:34,,,995176,438958,1438323,771189,10049,761012,12919062,17674592,7887852,25562444
7,2021-10-26,HR,Panipat,,,,31149,638,30510,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:35,,,825928,264398,1092785,771189,10049,761012,12919062,17674592,7887852,25562444
8,2021-10-26,HR,Panchkula,,,,30764,378,30368,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:36,,,455603,272896,730278,771189,10049,761012,12919062,17674592,7887852,25562444
9,2021-10-26,HR,Ambala,,,,30149,509,29638,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:37,,,871352,556808,1431648,771189,10049,761012,12919062,17674592,7887852,25562444
10,2021-10-26,HR,Sirsa,,,,29282,508,28769,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:38,,,783869,274445,1060273,771189,10049,761012,12919062,17674592,7887852,25562444
11,2021-10-26,HR,Rohtak,,,,25903,534,25350,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:39,,,667927,293726,965109,771189,10049,761012,12919062,17674592,7887852,25562444
12,2021-10-26,HR,Yamunanagar,,,,24631,414,24211,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:40,,,828350,331641,1386200,771189,10049,761012,12919062,17674592,7887852,25562444
13,2021-10-26,HR,Bhiwani,,,,22409,652,21757,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:41,,,737586,300856,1043783,771189,10049,761012,12919062,17674592,7887852,25562444
14,2021-10-26,HR,Kurukshetra,,,,22147,357,21789,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:42,,,608348,243169,853572,771189,10049,761012,12919062,17674592,7887852,25562444
15,2021-10-26,HR,Mahendragarh,,,,21689,155,21534,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:43,,,573137,257593,832896,771189,10049,761012,12919062,17674592,7887852,25562444
16,2021-10-26,HR,Jind,,,,21209,533,20675,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:44,,,696189,236774,937590,771189,10049,761012,12919062,17674592,7887852,25562444
17,2021-10-26,HR,Rewari,,,,20327,221,20105,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:45,,,647069,288461,937840,771189,10049,761012,12919062,17674592,7887852,25562444
18,2021-10-26,HR,Jhajjar,,,,18848,328,18514,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:46,,,679150,282315,966017,771189,10049,761012,12919062,17674592,7887852,25562444
19,2021-10-26,HR,Fatehabad,,,,17875,481,17394,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:47,,,573480,197372,772106,771189,10049,761012,12919062,17674592,7887852,25562444
20,2021-10-26,HR,Kaithal,,,,11244,346,10898,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:48,,,613034,210861,825847,771189,10049,761012,12919062,17674592,7887852,25562444
21,2021-10-26,HR,Palwal,,,,11025,153,10872,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:49,,,603948,215652,822140,771189,10049,761012,12919062,17674592,7887852,25562444
22,2021-10-26,HR,Charkhi Dadri,,,,5078,139,4937,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:50,,,363993,253553,619473,771189,10049,761012,12919062,17674592,7887852,25562444
23,2021-10-26,HR,Nuh,,,,5014,123,4890,12919062,2021-11-10T13:23:35.642231+05:30,2021-11-10T13:23:35.642231+05:51,,,347721,75587,425038,771189,10049,761012,12919062,17674592,7887852,25562444
