,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-10-26,TN,Ariyalur,,,,16829,261,16516,,,,,2694877,36046,2646296,
1,2021-10-26,TN,Chengalpattu,,,,171340,2503,167844,,,,,2694877,36046,2646296,
2,2021-10-26,TN,Chennai,,,,554058,8537,543948,,,,,2694877,36046,2646296,
3,2021-10-26,TN,Coimbatore,,,,246172,2404,242387,,,,,2694877,36046,2646296,
4,2021-10-26,TN,Cuddalore,,,,63995,867,62909,,,,,2694877,36046,2646296,
5,2021-10-26,TN,Dharmapuri,,,,28352,273,27841,,,,,2694877,36046,2646296,
6,2021-10-26,TN,Dindigul,,,,33060,645,32313,,,,,2694877,36046,2646296,
7,2021-10-26,TN,Erode,,,,103953,682,102399,,,,,2694877,36046,2646296,
8,2021-10-26,TN,Kallakurichi,,,,31315,210,30965,,,,,2694877,36046,2646296,
9,2021-10-26,TN,Kancheepuram,,,,74815,1256,73201,,,,,2694877,36046,2646296,
10,2021-10-26,TN,Kanyakumari,,,,62273,1048,61048,,,,,2694877,36046,2646296,
11,2021-10-26,TN,Karur,,,,23992,356,23459,,,,,2694877,36046,2646296,
12,2021-10-26,TN,Krishnagiri,,,,43473,347,42920,,,,,2694877,36046,2646296,
13,2021-10-26,TN,Madurai,,,,75143,1171,73763,,,,,2694877,36046,2646296,
14,2021-10-26,TN,Mayiladuthurai,,,,23256,316,22826,,,,,2694877,36046,2646296,
15,2021-10-26,TN,Nagapattinam,,,,21007,341,20473,,,,,2694877,36046,2646296,
16,2021-10-26,TN,Namakkal,,,,52022,496,50990,,,,,2694877,36046,2646296,
17,2021-10-26,TN,Nilgiris,,,,33479,209,33017,,,,,2694877,36046,2646296,
18,2021-10-26,TN,Perambalur,,,,12048,243,11769,,,,,2694877,36046,2646296,
19,2021-10-26,TN,Pudukottai,,,,30131,415,29582,,,,,2694877,36046,2646296,
20,2021-10-26,TN,Ramanathapuram,,,,20545,357,20118,,,,,2694877,36046,2646296,
21,2021-10-26,TN,Ranipet,,,,43381,774,42500,,,,,2694877,36046,2646296,
22,2021-10-26,TN,Salem,,,,99588,1683,97297,,,,,2694877,36046,2646296,
23,2021-10-26,TN,Sivaganga,,,,20134,206,19796,,,,,2694877,36046,2646296,
24,2021-10-26,TN,Tenkasi,,,,27343,484,26822,,,,,2694877,36046,2646296,
25,2021-10-26,TN,Thanjavur,,,,75140,970,73575,,,,,2694877,36046,2646296,
26,2021-10-26,TN,Theni,,,,43561,520,43001,,,,,2694877,36046,2646296,
27,2021-10-26,TN,Tirupathur,,,,29258,625,28555,,,,,2694877,36046,2646296,
28,2021-10-26,TN,Thiruvallur,,,,119197,1840,116858,,,,,2694877,36046,2646296,
29,2021-10-26,TN,Tiruvannamalai,,,,54883,667,54003,,,,,2694877,36046,2646296,
30,2021-10-26,TN,Thiruvarur,,,,41349,438,40602,,,,,2694877,36046,2646296,
31,2021-10-26,TN,Thoothukkudi,,,,56240,408,55697,,,,,2694877,36046,2646296,
32,2021-10-26,TN,Tirunelveli,,,,49305,431,48723,,,,,2694877,36046,2646296,
33,2021-10-26,TN,Tiruppur,,,,95058,974,93332,,,,,2694877,36046,2646296,
34,2021-10-26,TN,Tiruchirappalli,,,,77329,1055,75793,,,,,2694877,36046,2646296,
35,2021-10-26,TN,Vellore,,,,49783,1130,48473,,,,,2694877,36046,2646296,
36,2021-10-26,TN,Villupuram,,,,45803,356,45324,,,,,2694877,36046,2646296,
37,2021-10-26,TN,Virudhunagar,,,,46267,548,45657,,,,,2694877,36046,2646296,
