District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,Date,tested_last_updated_district,last_updated,tested_last_updated_state,State,tested_source_district,tested_source_state,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
Bishnupur,9142,190,0,69418,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Chandel,2326,37,0,31146,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Churachandpur,10127,160,0,115215,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Imphal East,27311,454,0,235985,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Imphal West,42944,638,0,426454,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Jiribam,1021,7,0,26718,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Kakching,6392,111,0,58401,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Kamjong,921,61,0,13071,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Kangpokpi,2776,4,0,39877,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Noney,1067,0,0,17287,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Pherzawl,464,0,0,6941,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Senapati,2225,10,0,61163,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Tamenglong,3274,13,0,47395,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Tengnoupal,1053,13,0,14959,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Thoubal,9431,173,0,116525,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
Ukhrul,2929,39,0,77740,2021-10-26,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,2021-10-26 14:00:00+05:30,Manipur,https://twitter.com/health_manipur,https://twitter.com/health_manipur,123403,1915,120615,1358295
