Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Ahmedabad,8,0,5,4983,9145,29601,0,0,0,0,0,0,0,7208200,2021-12-08 10:34:48.742177,,,238320,3411,234881,5278053,5932230,3325315,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,9257545.0,0
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Amreli,0,0,0,867,988,6013,0,0,0,0,0,0,0,1513614,2021-12-08 10:34:48.742177,,,10810,102,10708,589516,923507,522351,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,1445858.0,0
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Anand,0,0,0,1799,1522,4269,0,0,0,0,0,0,0,2090276,2021-12-08 10:34:48.742177,,,9631,49,9580,531949,1442173,900248,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,2342421.0,0
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Aravalli,0,0,0,874,575,8627,0,0,0,0,0,0,0,1051746,2021-12-08 10:34:48.742177,,,5186,78,5108,358931,717233,501384,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,1218617.0,0
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Banaskantha,0,0,0,4828,5837,20141,0,0,0,0,0,0,0,3116045,2021-12-08 10:34:48.742177,,,13631,162,13469,830000,2132096,1101320,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,3233416.0,0
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Bharuch,0,0,0,1012,3192,6057,0,0,0,0,0,0,0,1550822,2021-12-08 10:34:48.742177,,,11426,118,11308,508515,1202413,636333,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,1838746.0,0
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Bhavnagar,0,0,0,1855,4083,14079,0,0,0,0,0,0,0,2877961,2021-12-08 10:34:48.742177,,,21446,301,21143,1184922,1668328,928163,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,2596491.0,0
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Botad,0,0,0,386,156,2172,0,0,0,0,0,0,0,656005,2021-12-08 10:34:48.742177,,,2218,42,2176,252465,377613,219284,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,596897.0,0
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Chhota Udaipur,0,0,0,1084,138,2637,0,0,0,0,0,0,0,1071831,2021-12-08 10:34:48.742177,,,3395,38,3357,263218,635225,405453,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,1040678.0,0
2021-10-26,GJ,30,0,18,51960,63668,288427,0,0,0,0,0,0,0,Dahod,0,0,0,208,128,4557,0,0,0,0,0,0,0,2126558,2021-12-08 10:34:48.742177,,,9955,38,9917,696235,1498681,587233,2021-12-08 10:34:48.741507,67936000,2021-12-08 10:34:48.742505,,,826302,10085,816046,30690456,44520171,24830984,69351155.0,352095.0,2085914.0,0
