,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-10-26,PB,Ludhiana,,,,87599,2106,85464,,,,,602251,16554,585471,
1,2021-10-26,PB,S.A.S. Nagar,,,,68806,1068,67707,,,,,602251,16554,585471,
2,2021-10-26,PB,Jalandhar,,,,63381,1496,61856,,,,,602251,16554,585471,
3,2021-10-26,PB,Patiala,,,,48925,1358,47550,,,,,602251,16554,585471,
4,2021-10-26,PB,Amritsar,,,,47361,1596,45751,,,,,602251,16554,585471,
5,2021-10-26,PB,Bathinda,,,,41717,1042,40664,,,,,602251,16554,585471,
6,2021-10-26,PB,Hoshiarpur,,,,30813,984,29820,,,,,602251,16554,585471,
7,2021-10-26,PB,Gurdaspur,,,,22379,800,21575,,,,,602251,16554,585471,
8,2021-10-26,PB,Fazilka,,,,20263,528,19726,,,,,602251,16554,585471,
9,2021-10-26,PB,Pathankot,,,,18797,419,18367,,,,,602251,16554,585471,
10,2021-10-26,PB,Sri Muktsar Sahib,,,,18782,524,18257,,,,,602251,16554,585471,
11,2021-10-26,PB,Kapurthala,,,,17850,556,17290,,,,,602251,16554,585471,
12,2021-10-26,PB,Sangrur,,,,15760,875,14881,,,,,602251,16554,585471,
13,2021-10-26,PB,Mansa,,,,15606,380,15225,,,,,602251,16554,585471,
14,2021-10-26,PB,Ferozepur,,,,14337,504,13826,,,,,602251,16554,585471,
15,2021-10-26,PB,Faridkot,,,,13922,315,13597,,,,,602251,16554,585471,
16,2021-10-26,PB,Rupnagar,,,,12945,423,12511,,,,,602251,16554,585471,
17,2021-10-26,PB,Shahid Bhagat Singh Nagar,,,,11468,388,11080,,,,,602251,16554,585471,
18,2021-10-26,PB,Fatehgarh Sahib,,,,8874,335,8538,,,,,602251,16554,585471,
19,2021-10-26,PB,Moga,,,,8674,233,8433,,,,,602251,16554,585471,
20,2021-10-26,PB,Tarn Taran,,,,8043,380,7657,,,,,602251,16554,585471,
21,2021-10-26,PB,Barnala,,,,5949,244,5696,,,,,602251,16554,585471,
