,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
0,Andaman and Nicobar Islands,7648,7515,129,591576.0,1144.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,0,1,0,723131196,312530766,2422950,3630660,293503,194026,172,2252,2021-10-26,TT
1,Andhra Pradesh,2064287,2045276,14356,29325840.0,33944.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,415,584,6,723131196,312530766,2422950,3630660,32197597,19141651,236311,318688,2021-10-26,TT
2,Arunachal Pradesh,55114,54697,280,1182441.0,815.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,9,10,0,723131196,312530766,2422950,3630660,769750,519915,554,4232,2021-10-26,TT
3,Assam,609262,599290,5981,24535868.0,42670.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,347,235,3,723131196,312530766,2422950,3630660,19977243,7519326,41340,151195,2021-10-26,TT
4,Bihar,726068,716367,9661,49447986.0,181111.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,8,4,0,723131196,312530766,2422950,3630660,48738114,16438482,66593,104257,2021-10-26,TT
5,Chandigarh,65326,64479,820,784964.0,1381.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,1,3,0,723131196,312530766,2422950,3630660,923631,532586,611,3611,2021-10-26,TT
6,Chhattisgarh,1005898,992076,13573,13608073.0,23662.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,26,10,1,723131196,312530766,2422950,3630660,14596040,6947028,47615,83644,2021-10-26,TT
7,Delhi,1439671,1414257,25091,29129536.0,50202.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,41,25,0,723131196,312530766,2422950,3630660,12949359,7252856,26299,47392,2021-10-26,TT
8,Dadra and Nagar Haveli and Daman and Diu,10681,10642,4,72410.0,0.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,0,0,0,723131196,312530766,2422950,3630660,659285,362724,620,3306,2021-10-26,TT
9,Goa,177946,174101,3362,1455309.0,2934.0,34214892,33589700,455684,603207505.0,13499,14012,584,1305962,31,59,4,723131196,312530766,2422950,3630660,1256323,877828,1079,6432,2021-10-26,TT
