District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,Date,tested_last_updated_district,last_updated,tested_last_updated_state,State,tested_source_district,tested_source_state,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
Bilaspur,14284,85,14075,1111,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Chamba,13669,160,13486,547,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Hamirpur,17219,283,16585,954,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Kangra,50412,1118,48557,2942,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Kinnaur,3506,38,3459,108,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Kullu,9679,158,9485,258,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Lahul And Spiti,2953,18,2935,69,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Mandi,31522,446,30900,586,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Shimla,27488,639,26750,876,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Sirmaur,15455,211,15244,300,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Solan,22800,314,22455,853,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
Una,14158,253,13714,1442,2021-10-26,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,2021-10-26 19:00:00+05:30,Himachal Pradesh,https://twitter.com/nhm_hp,https://twitter.com/nhm_hp,223145,3723,217645,10046
