,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinatedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaVaccinatedForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaVaccinatedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaVaccinatedForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,statePopulation,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2021-10-26,GJ,,,,,,,,,Ahmedabad,,,,,,,,,,,,,,3411,234881,5278053,,,,,,,20170,1632092,61380912,
1,2021-10-26,GJ,,,,,,,,,Amreli,,,,,,,,,,,,,,102,10708,589516,,,,,,,20170,1632092,61380912,
2,2021-10-26,GJ,,,,,,,,,Anand,,,,,,,,,,,,,,49,9580,531949,,,,,,,20170,1632092,61380912,
3,2021-10-26,GJ,,,,,,,,,Aravalli,,,,,,,,,,,,,,78,5108,358931,,,,,,,20170,1632092,61380912,
4,2021-10-26,GJ,,,,,,,,,Banaskantha,,,,,,,,,,,,,,162,13469,830000,,,,,,,20170,1632092,61380912,
5,2021-10-26,GJ,,,,,,,,,Bharuch,,,,,,,,,,,,,,118,11308,508515,,,,,,,20170,1632092,61380912,
6,2021-10-26,GJ,,,,,,,,,Bhavnagar,,,,,,,,,,,,,,301,21143,1184922,,,,,,,20170,1632092,61380912,
7,2021-10-26,GJ,,,,,,,,,Botad,,,,,,,,,,,,,,42,2176,252465,,,,,,,20170,1632092,61380912,
8,2021-10-26,GJ,,,,,,,,,Chhota Udaipur,,,,,,,,,,,,,,38,3357,263218,,,,,,,20170,1632092,61380912,
9,2021-10-26,GJ,,,,,,,,,Dahod,,,,,,,,,,,,,,38,9917,696235,,,,,,,20170,1632092,61380912,
10,2021-10-26,GJ,,,,,,,,,Dang,,,,,,,,,,,,,,18,848,82729,,,,,,,20170,1632092,61380912,
11,2021-10-26,GJ,,,,,,,,,Devbhoomi Dwarka,,,,,,,,,,,,,,82,4093,237634,,,,,,,20170,1632092,61380912,
12,2021-10-26,GJ,,,,,,,,,Gandhinagar,,,,,,,,,,,,,,205,20549,824355,,,,,,,20170,1632092,61380912,
13,2021-10-26,GJ,,,,,,,,,Gir Somnath,,,,,,,,,,,,,,67,8499,374742,,,,,,,20170,1632092,61380912,
14,2021-10-26,GJ,,,,,,,,,Jamnagar,,,,,,,,,,,,,,478,34491,875510,,,,,,,20170,1632092,61380912,
15,2021-10-26,GJ,,,,,,,,,Junagadh,,,,,,,,,,,,,,272,20225,802717,,,,,,,20170,1632092,61380912,
16,2021-10-26,GJ,,,,,,,,,Kutch,,,,,,,,,,,,,,145,12473,819568,,,,,,,20170,1632092,61380912,
17,2021-10-26,GJ,,,,,,,,,Kheda,,,,,,,,,,,,,,48,10390,625844,,,,,,,20170,1632092,61380912,
18,2021-10-26,GJ,,,,,,,,,Mahisagar,,,,,,,,,,,,,,72,8122,381213,,,,,,,20170,1632092,61380912,
19,2021-10-26,GJ,,,,,,,,,Mehsana,,,,,,,,,,,,,,177,24242,677825,,,,,,,20170,1632092,61380912,
20,2021-10-26,GJ,,,,,,,,,Morbi,,,,,,,,,,,,,,87,6415,372250,,,,,,,20170,1632092,61380912,
21,2021-10-26,GJ,,,,,,,,,Narmada,,,,,,,,,,,,,,15,5940,271850,,,,,,,20170,1632092,61380912,
22,2021-10-26,GJ,,,,,,,,,Navsari,,,,,,,,,,,,,,24,7169,438293,,,,,,,20170,1632092,61380912,
23,2021-10-26,GJ,,,,,,,,,Panchmahal,,,,,,,,,,,,,,70,11700,551411,,,,,,,20170,1632092,61380912,
24,2021-10-26,GJ,,,,,,,,,Patan,,,,,,,,,,,,,,129,11495,463163,,,,,,,20170,1632092,61380912,
25,2021-10-26,GJ,,,,,,,,,Porbandar,,,,,,,,,,,,,,19,3467,244427,,,,,,,20170,1632092,61380912,
26,2021-10-26,GJ,,,,,,,,,Rajkot,,,,,,,,,,,,,,725,57236,2053915,,,,,,,20170,1632092,61380912,
27,2021-10-26,GJ,,,,,,,,,Sabarkantha,,,,,,,,,,,,,,157,9159,487785,,,,,,,20170,1632092,61380912,
28,2021-10-26,GJ,,,,,,,,,Surat,,,,,,,,,,,,,,1955,141865,6415642,,,,,,,20170,1632092,61380912,
29,2021-10-26,GJ,,,,,,,,,Surendranagar,,,,,,,,,,,,,,136,7985,519435,,,,,,,20170,1632092,61380912,
30,2021-10-26,GJ,,,,,,,,,Tapi,,,,,,,,,,,,,,24,4417,249933,,,,,,,20170,1632092,61380912,
31,2021-10-26,GJ,,,,,,,,,Vadodara,,,,,,,,,,,,,,788,77328,1926262,,,,,,,20170,1632092,61380912,
32,2021-10-26,GJ,,,,,,,,,Valsad,,,,,,,,,,,,,,53,6291,500149,,,,,,,20170,1632092,61380912,
33,2021-10-26,GJ,,,,,,,,,Total,,,,,,,,,,,,,,10085,816046,30690456,,,,,,,20170,1632092,61380912,
