,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-10-29,KL,Ernakulam,,,,597030,2981,578054,,,,,4929158,29355,4824745,
1,2021-10-29,KL,Thiruvananthapuram,,,,458638,4955,445132,,,,,4929158,29355,4824745,
2,2021-10-29,KL,Pathanamthitta,,,,191237,1027,183102,,,,,4929158,29355,4824745,
3,2021-10-29,KL,Palakkad,,,,372026,2773,362383,,,,,4929158,29355,4824745,
4,2021-10-29,KL,Idukki,,,,144965,466,138963,,,,,4929158,29355,4824745,
5,2021-10-29,KL,Kollam,,,,387449,2301,379766,,,,,4929158,29355,4824745,
6,2021-10-29,KL,Kozhikode,,,,523241,2875,515675,,,,,4929158,29355,4824745,
7,2021-10-29,KL,Kannur,,,,273482,2051,267271,,,,,4929158,29355,4824745,
8,2021-10-29,KL,Wayanad,,,,124269,516,120085,,,,,4929158,29355,4824745,
9,2021-10-29,KL,Kasaragod,,,,138037,593,134044,,,,,4929158,29355,4824745,
10,2021-10-29,KL,Malappuram,,,,565682,2488,559889,,,,,4929158,29355,4824745,
11,2021-10-29,KL,Kottayam,,,,319399,1324,314979,,,,,4929158,29355,4824745,
12,2021-10-29,KL,Thrissur,,,,519043,3312,513750,,,,,4929158,29355,4824745,
13,2021-10-29,KL,Alappuzha,,,,314660,1693,311652,,,,,4929158,29355,4824745,
