,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
1,2021-10-26,WB,Alipurduar,,,,15564,102,15416,,,,,1588000,19078,1561073,
2,2021-10-26,WB,Coochbehar,,,,29219,97,28994,,,,,1588000,19078,1561073,
3,2021-10-26,WB,Darjeeling,,,,56998,538,56173,,,,,1588000,19078,1561073,
4,2021-10-26,WB,Kalimpong,,,,7021,54,6930,,,,,1588000,19078,1561073,
5,2021-10-26,WB,Jalpaiguri,,,,41894,566,41171,,,,,1588000,19078,1561073,
6,2021-10-26,WB,Uttar Dinajpur,,,,19821,236,19526,,,,,1588000,19078,1561073,
7,2021-10-26,WB,Dakshin Dinajpur,,,,17799,169,17495,,,,,1588000,19078,1561073,
8,2021-10-26,WB,Malda,,,,33339,186,33084,,,,,1588000,19078,1561073,
9,2021-10-26,WB,Murshidabad,,,,33951,327,33575,,,,,1588000,19078,1561073,
10,2021-10-26,WB,Nadia,,,,73111,853,71820,,,,,1588000,19078,1561073,
11,2021-10-26,WB,Birbhum,,,,41050,286,40648,,,,,1588000,19078,1561073,
12,2021-10-26,WB,Purulia,,,,19405,113,19268,,,,,1588000,19078,1561073,
13,2021-10-26,WB,Bankura,,,,36192,274,35742,,,,,1588000,19078,1561073,
14,2021-10-26,WB,Jhargram,,,,12119,27,12036,,,,,1588000,19078,1561073,
15,2021-10-26,WB,Paschim Medinipur,,,,53452,506,52678,,,,,1588000,19078,1561073,
16,2021-10-26,WB,Purba Medinipur,,,,63022,396,62465,,,,,1588000,19078,1561073,
17,2021-10-26,WB,Purba Bardhaman,,,,41900,198,41463,,,,,1588000,19078,1561073,
18,2021-10-26,WB,Paschim Bardhaman,,,,57620,356,57072,,,,,1588000,19078,1561073,
19,2021-10-26,WB,Howrah,,,,98367,1522,96223,,,,,1588000,19078,1561073,
20,2021-10-26,WB,Hooghly,,,,85942,989,84293,,,,,1588000,19078,1561073,
21,2021-10-26,WB,North 24 Parganas,,,,328481,4815,322394,,,,,1588000,19078,1561073,
22,2021-10-26,WB,South 24 Parganas,,,,100558,1332,98605,,,,,1588000,19078,1561073,
23,2021-10-26,WB,Kolkata,,,,321175,5136,314002,,,,,1588000,19078,1561073,
