,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-10-26,MH,Mumbai,,,,755480,16229,731749,,,,,6606392,139987,6443311,
1,2021-10-26,MH,Thane,,,,609356,11431,594439,,,,,6606392,139987,6443311,
2,2021-10-26,MH,Palghar,,,,137902,3282,134116,,,,,6606392,139987,6443311,
3,2021-10-26,MH,Raigad,,,,195812,4546,190620,,,,,6606392,139987,6443311,
4,2021-10-26,MH,Ratnagiri,,,,78899,2477,76212,,,,,6606392,139987,6443311,
5,2021-10-26,MH,Sindhudurg,,,,52726,1431,50878,,,,,6606392,139987,6443311,
6,2021-10-26,MH,Pune,,,,1153942,19579,1130030,,,,,6606392,139987,6443311,
7,2021-10-26,MH,Satara,,,,250384,6419,243330,,,,,6606392,139987,6443311,
8,2021-10-26,MH,Sangli,,,,209675,5609,203525,,,,,6606392,139987,6443311,
9,2021-10-26,MH,Kolhapur,,,,206637,5846,200644,,,,,6606392,139987,6443311,
10,2021-10-26,MH,Solapur,,,,210342,5543,204226,,,,,6606392,139987,6443311,
11,2021-10-26,MH,Nashik,,,,410410,8674,401291,,,,,6606392,139987,6443311,
12,2021-10-26,MH,Ahmednagar,,,,339024,7031,329801,,,,,6606392,139987,6443311,
13,2021-10-26,MH,Jalgaon,,,,139933,2714,137173,,,,,6606392,139987,6443311,
14,2021-10-26,MH,Nandurbar,,,,40004,948,39053,,,,,6606392,139987,6443311,
15,2021-10-26,MH,Dhule,,,,46167,654,45497,,,,,6606392,139987,6443311,
16,2021-10-26,MH,Aurangabad,,,,155248,4251,150615,,,,,6606392,139987,6443311,
17,2021-10-26,MH,Jalna,,,,60604,1209,59375,,,,,6606392,139987,6443311,
18,2021-10-26,MH,Beed,,,,103711,2803,100796,,,,,6606392,139987,6443311,
19,2021-10-26,MH,Latur,,,,92103,2435,89608,,,,,6606392,139987,6443311,
20,2021-10-26,MH,Parbhani,,,,52353,1233,51074,,,,,6606392,139987,6443311,
21,2021-10-26,MH,Hingoli,,,,18475,506,17948,,,,,6606392,139987,6443311,
22,2021-10-26,MH,Nanded,,,,90393,2658,87709,,,,,6606392,139987,6443311,
23,2021-10-26,MH,Osmanabad,,,,67765,1963,65539,,,,,6606392,139987,6443311,
24,2021-10-26,MH,Amravati,,,,96231,1594,94618,,,,,6606392,139987,6443311,
25,2021-10-26,MH,Akola,,,,58764,1425,57314,,,,,6606392,139987,6443311,
26,2021-10-26,MH,Washim,,,,41659,637,41015,,,,,6606392,139987,6443311,
27,2021-10-26,MH,Buldhana,,,,85509,796,84702,,,,,6606392,139987,6443311,
28,2021-10-26,MH,Yavatmal,,,,75961,1798,74153,,,,,6606392,139987,6443311,
29,2021-10-26,MH,Nagpur,,,,493583,9128,484306,,,,,6606392,139987,6443311,
30,2021-10-26,MH,Wardha,,,,57340,1217,55953,,,,,6606392,139987,6443311,
31,2021-10-26,MH,Bhandara,,,,60081,1123,58945,,,,,6606392,139987,6443311,
32,2021-10-26,MH,Gondia,,,,40517,569,39938,,,,,6606392,139987,6443311,
33,2021-10-26,MH,Chandrapur,,,,88963,1560,87387,,,,,6606392,139987,6443311,
34,2021-10-26,MH,Gadchiroli,,,,30439,669,29732,,,,,6606392,139987,6443311,
