,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinatedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaVaccinatedForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaVaccinatedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaVaccinatedForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,statePopulation,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2021-10-26,TR,,,,,,,,,Dhalai,,,,,,,,,,,,,7037,35,6998,178267,,,,,,84402,813,83416,1966415,
1,2021-10-26,TR,,,,,,,,,Gomati,,,,,,,,,,,,,8128,74,8042,138967,,,,,,84402,813,83416,1966415,
2,2021-10-26,TR,,,,,,,,,Khowai,,,,,,,,,,,,,4557,54,4500,97158,,,,,,84402,813,83416,1966415,
3,2021-10-26,TR,,,,,,,,,North Tripura,,,,,,,,,,,,,7246,34,7194,309930,,,,,,84402,813,83416,1966415,
4,2021-10-26,TR,,,,,,,,,Sepahijala,,,,,,,,,,,,,6355,75,6270,193247,,,,,,84402,813,83416,1966415,
5,2021-10-26,TR,,,,,,,,,South Tripura,,,,,,,,,,,,,10165,53,10103,300576,,,,,,84402,813,83416,1966415,
6,2021-10-26,TR,,,,,,,,,Unakoti,,,,,,,,,,,,,8607,68,8527,157332,,,,,,84402,813,83416,1966415,
7,2021-10-26,TR,,,,,,,,,West Tripura,,,,,,,,,,,,,32307,420,31782,590938,,,,,,84402,813,83416,1966415,
